Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,136.15345264089123,43.227776027445465,5.23657394716334,-0.339883615358574,0.020399999999999974,0.03200000000000003,0.0088,5518.222222222222,0.00028919698635686774,0.00028919698635686774,0.00028919698635686774,0_1:0.007023795871309496,0_1:234.66666666666666
1,100.95394132649919,27.299709187594033,5.014379043089954,-0.3432005583724651,0.015900000000000025,0.025000000000000022,0.0068,5518.222222222222,0.00019356488727338234,0.00019356488727338234,0.00019356488727338234,1_2:0.012240905615434616; 1_3:0.009221061065326691; 1_0:0.007023795871309496,1_2:284.44444444444446; 1_3:384; 1_0:270.22222222222223
2,159.90519795396304,21.482165501012222,5.108409311539861,-0.3416150041672664,0.017199999999999993,0.028200000000000003,0.0062,5518.222222222222,0.00017663166397250055,0.00017663166397250055,0.00017663166397250055,2_1:0.012240905615434616,2_1:248.88888888888889
3,92.91161866686005,39.05541877857265,5.178143964155123,-0.3411171247904715,0.018100000000000005,0.027800000000000047,0.0084,5518.222222222222,0.0002964294409849532,0.0002964294409849532,0.0002964294409849532,3_5:0.007089958513858907; 3_1:0.009221061065326691,3_5:398.2222222222222; 3_1:419.55555555555554
4,123.44582284417449,98.77556385934841,5.213035813537605,-0.3392533874360392,0.04830000000000001,0.0338,0.06279999999999997,5518.222222222222,0.00021007112872356085,0.00021007112872356085,0.00021007112872356085,4_5:0.01189896068224483,4_5:540.4444444444445
5,134.05284881694035,61.22422107568001,5.0633214278019425,-0.3412893561600795,0.04049999999999998,0.0504,0.0306,5518.222222222222,0.00033709472719426506,0.00033709472719426506,0.00033709472719426506,5_6:0.006945308344542989; 5_4:0.01189896068224483; 5_3:0.007089958513858907,5_6:312.88888888888886; 5_4:504.88888888888886; 5_3:362.66666666666663
6,140.92076146382763,22.28388481825864,5.300662770455763,-0.3383638923290693,0.03200000000000003,0.04859999999999998,0.0154,5518.222222222222,0.00025619844600863835,0.00025619844600863835,0.00025619844600863835,6_5:0.006945308344542989,6_5:277.3333333333333
