circuit_id,num_qubits,depth,nonzero_rate_ideal,nonzero_rate_basic_depolarization_model,nonzero_rate_fake_kolkata_model
0,12,10,0.12,0.66,0.74
1,12,12,0.03,0.56,0.5
2,12,14,0.25,0.92,0.99
3,14,10,0.03,0.44,0.32
4,14,12,0.06,0.55,0.46
5,14,14,0.5,0.73,0.79
6,16,10,0.01,0.14,0.11
7,16,12,0.12,0.27,0.27
8,16,14,0.47,0.55,0.54
