,bitstring,ideal_prob,fake_guadalupe_prob,depolarization_prob,depolarization_and_readout_prob
0,000000000000,2.3045084013e-05,0.000184,9.8e-05,0.000132
1,000000000001,0.000396635851747,0.000412,0.000298,0.000254
2,000000000010,4.0963255918e-05,0.000324,0.00012,0.00021
3,000000000011,0.000267072718808,0.000428,0.000236,0.000276
4,000000000100,0.000362599683868,0.000558,0.000376,0.000388
5,000000000101,0.000207156111216,0.000278,0.00023,0.000294
6,000000000110,1.871258411e-06,0.000146,6.4e-05,0.0001
7,000000000111,1.4841237036e-05,0.00024,0.000134,0.000164
8,000000001000,7.728258234e-05,0.000192,0.000108,0.00013
9,000000001001,0.00013860226992,0.000334,0.000172,0.000236
10,000000001010,0.000318996729108,0.000378,0.000268,0.000232
11,000000001011,0.000361832394547,0.000376,0.000358,0.000326
12,000000001100,0.000311112373324,0.000386,0.00034,0.000356
13,000000001101,0.001004485031567,0.000736,0.000756,0.000612
14,000000001110,0.000921444320995,0.000536,0.000634,0.000482
15,000000001111,0.000529671868542,0.00038,0.00046,0.000418
16,000000010000,0.000235022735915,0.000234,0.000228,0.000212
17,000000010001,0.000169943112384,0.000234,0.000192,0.0002
18,000000010010,0.000302709411361,0.000418,0.000304,0.000274
19,000000010011,0.00025044702416,0.000296,0.000262,0.000312
20,000000010100,0.000607635107154,0.000564,0.000484,0.00045
21,000000010101,5.219920859e-06,0.000236,0.000116,0.00022
22,000000010110,0.000304206725594,0.000318,0.000284,0.000266
23,000000010111,0.000630691388943,0.000382,0.000442,0.000352
24,000000011000,0.000157477220717,0.000214,0.00019,0.000166
25,000000011001,0.000254838612512,0.00027,0.000246,0.000236
26,000000011010,0.000441513027294,0.000524,0.00042,0.000406
27,000000011011,8.370584206e-06,0.000228,0.000144,0.00019
28,000000011100,0.000385122348172,0.00033,0.00036,0.000304
29,000000011101,0.000483530342826,0.000374,0.000388,0.000392
30,000000011110,0.000178883346645,0.000124,0.000176,0.000202
31,000000011111,5.5958408032e-05,0.00011,0.0001,0.00016
32,000000100000,0.000105568778505,0.000294,0.000168,0.000226
33,000000100001,1.707969094e-06,0.000204,9e-05,0.0002
34,000000100010,0.001063915287853,0.000828,0.000778,0.000546
35,000000100011,0.001028698931133,0.000734,0.000716,0.000586
36,000000100100,0.001235533185815,0.000826,0.000858,0.000644
37,000000100101,0.001520881629836,0.001072,0.00114,0.000946
38,000000100110,4.8847710975e-05,0.000234,0.000162,0.000218
39,000000100111,0.00067038841283,0.000578,0.000562,0.000542
40,000000101000,0.000234633684054,0.000344,0.000262,0.000212
41,000000101001,0.000770938808898,0.00064,0.000588,0.000534
42,000000101010,6.0781284491e-05,0.000264,0.000152,0.000188
43,000000101011,0.000601194592954,0.00049,0.0005,0.00047
44,000000101100,0.000794254645318,0.000608,0.000642,0.000524
45,000000101101,0.000167501744773,0.000224,0.000232,0.000258
46,000000101110,0.000212277367639,0.000274,0.00024,0.00027
47,000000101111,1.5580890332e-05,0.000124,8.8e-05,0.000172
48,000000110000,0.0004291879651,0.000398,0.000336,0.00039
49,000000110001,0.000187306983159,0.000328,0.000258,0.000234
50,000000110010,0.000266554322943,0.000348,0.00032,0.000372
51,000000110011,4.3769472878e-05,0.000228,0.000132,0.000224
52,000000110100,0.000263923839081,0.000422,0.000308,0.000374
53,000000110101,0.00107664328938,0.000746,0.000812,0.000656
54,000000110110,0.00096314342043,0.000676,0.000712,0.000618
55,000000110111,0.000853335471296,0.000546,0.00066,0.000614
56,000000111000,0.00020090514937,0.000282,0.000182,0.000224
57,000000111001,0.00028340627952,0.000268,0.000288,0.00029
58,000000111010,0.000666912778839,0.00055,0.000554,0.000472
59,000000111011,7.6517060539e-05,0.000238,0.00017,0.000232
60,000000111100,0.001072111533318,0.000698,0.00077,0.000614
61,000000111101,0.000449673908345,0.00037,0.00044,0.000422
62,000000111110,0.000162484072244,0.000204,0.00019,0.000244
63,000000111111,0.000133418453282,0.000158,0.000208,0.000228
64,000001000000,4.7928738536e-05,0.0002,0.000114,0.00012
65,000001000001,0.000100854602134,0.000178,0.000124,0.000122
66,000001000010,9.4238957508e-05,0.000336,0.000168,0.000192
67,000001000011,0.000130051589031,0.000292,0.000196,0.00018
68,000001000100,0.000632360668889,0.000612,0.000604,0.000506
69,000001000101,8.5072972131e-05,0.000256,0.000206,0.000234
70,000001000110,1.8951323257e-05,0.000132,7.8e-05,0.000112
71,000001000111,0.000120507649547,0.000304,0.000194,0.000284
72,000001001000,0.000301062184756,0.000256,0.000234,0.000214
73,000001001001,0.000231333789177,0.000296,0.000224,0.00029
74,000001001010,5.1519742216e-05,0.000192,8.8e-05,0.000136
75,000001001011,0.000170052278921,0.000278,0.000204,0.000236
76,000001001100,0.000420201038248,0.00051,0.000382,0.00032
77,000001001101,0.000173357205101,0.000236,0.000186,0.000198
78,000001001110,6.2564463301e-05,0.000194,0.00012,0.000168
79,000001001111,0.000554554275889,0.000372,0.0004,0.000416
80,000001010000,0.000163189260806,0.000146,0.00015,0.000144
81,000001010001,9.390635606e-06,0.000148,7.8e-05,0.000112
82,000001010010,0.001080770101326,0.000694,0.000746,0.000572
83,000001010011,0.000223648677487,0.000254,0.000196,0.000234
84,000001010100,5.0915100324e-05,0.000238,0.000128,0.000226
85,000001010101,0.000231943265286,0.000266,0.000206,0.000222
86,000001010110,9.5101139908e-05,0.000242,0.000138,0.000234
87,000001010111,0.000503289279399,0.000318,0.000362,0.000304
88,000001011000,0.000102471722772,0.000114,0.000108,0.000154
89,000001011001,5.1862811803e-05,0.000158,0.000116,0.00012
90,000001011010,0.000300288229082,0.000334,0.000282,0.000298
91,000001011011,0.000450667305277,0.000416,0.00038,0.00032
92,000001011100,0.000321019888522,0.000256,0.000308,0.000274
93,000001011101,0.00031242185407,0.000294,0.000244,0.000256
94,000001011110,9.7472116701e-05,0.000146,0.000128,0.000126
95,000001011111,2.0542156309e-05,9.2e-05,7.4e-05,0.000108
96,000001100000,7.4908455971e-05,0.000154,0.000108,0.000114
97,000001100001,5.2775770268e-05,0.000154,7.2e-05,0.000118
98,000001100010,1.8456717024e-05,0.00024,0.000156,0.000164
99,000001100011,4.801127604e-05,0.000264,0.00014,0.000224
100,000001100100,0.000153608067971,0.000292,0.000172,0.000232
101,000001100101,8.9903222316e-05,0.000294,0.00019,0.000258
102,000001100110,0.000214043222644,0.000194,0.000244,0.000182
103,000001100111,0.000251601634644,0.000254,0.000238,0.00024
104,000001101000,0.000248243518327,0.000212,0.000218,0.000218
105,000001101001,0.00034936006755,0.000324,0.000252,0.000254
106,000001101010,0.000409447170796,0.000354,0.000324,0.000284
107,000001101011,9.6762482667e-05,0.000266,0.000166,0.00022
108,000001101100,0.000129280624684,0.000202,0.000152,0.00022
109,000001101101,2.9308239335e-05,0.00014,0.000124,0.000142
110,000001101110,0.000341217960384,0.000298,0.000274,0.000256
111,000001101111,0.000148681623391,0.000164,0.000178,0.00016
112,000001110000,0.000606464114034,0.000442,0.000516,0.000362
113,000001110001,0.000717311375014,0.000378,0.00054,0.000402
114,000001110010,0.000465991266302,0.000354,0.000428,0.000336
115,000001110011,0.000671791562696,0.000434,0.000518,0.000452
116,000001110100,0.000150908435713,0.000234,0.000272,0.00022
117,000001110101,4.1853133435e-05,0.000154,0.000122,0.000178
118,000001110110,0.000119434862365,0.000174,0.000188,0.000184
119,000001110111,0.000326561612796,0.000282,0.000288,0.00033
120,000001111000,2.9150684473e-05,0.000114,9.8e-05,0.00013
121,000001111001,0.000333306317571,0.00025,0.00028,0.00025
122,000001111010,0.000517558322965,0.000362,0.000372,0.000364
123,000001111011,0.000757994475628,0.000392,0.0005,0.000486
124,000001111100,0.000171599086711,0.00024,0.000254,0.000262
125,000001111101,0.000194681388003,0.000234,0.000216,0.00021
126,000001111110,0.000209264704463,0.000152,0.000168,0.000184
127,000001111111,0.000220637765688,0.000128,0.000216,0.000172
128,000010000000,0.000187860303429,0.000206,0.000132,0.000154
129,000010000001,0.00017242940525,0.0002,0.000156,0.000178
130,000010000010,8.3055661128e-05,0.00027,0.000136,0.00021
131,000010000011,8.3023933228e-05,0.000284,0.000128,0.000138
132,000010000100,0.000172162471662,0.00033,0.000214,0.000202
133,000010000101,4.4434437583e-05,0.000206,8.2e-05,0.00015
134,000010000110,5.4606836155e-05,9.2e-05,8.4e-05,9.6e-05
135,000010000111,0.00024909210255,0.000264,0.00021,0.000214
136,000010001000,0.000111488319687,0.000166,9e-05,0.000112
137,000010001001,1.2317909873e-05,0.000154,6.4e-05,0.000102
138,000010001010,9.6470083955e-05,0.000174,0.000118,0.000144
139,000010001011,0.000115693272391,0.000266,0.000182,0.00016
140,000010001100,0.000100487705331,0.000184,0.000138,0.000154
141,000010001101,0.000250247884186,0.000258,0.000264,0.000256
142,000010001110,6.6372529346e-05,0.000194,0.000124,0.000172
143,000010001111,0.000314419068559,0.000232,0.00026,0.00027
144,000010010000,3.0577763328e-05,0.000172,0.000106,0.000164
145,000010010001,0.00013996360709,0.00019,0.000184,0.000214
146,000010010010,0.001279077188952,0.000712,0.000812,0.00063
147,000010010011,0.000119562111489,0.00025,0.0002,0.000228
148,000010010100,0.000204807158546,0.000436,0.000262,0.000346
149,000010010101,0.000325545964137,0.00027,0.00027,0.000246
150,000010010110,7.810484763e-06,0.000172,9e-05,0.000162
151,000010010111,0.000211657178937,0.000226,0.00022,0.000234
152,000010011000,6.8847457166e-05,0.000138,8.6e-05,0.00012
153,000010011001,9.9397474671e-05,0.000174,0.000126,0.000164
154,000010011010,0.000271547140335,0.000364,0.000276,0.000286
155,000010011011,0.000584994934992,0.000408,0.00045,0.000386
156,000010011100,9.2133905789e-05,0.000182,0.000142,0.00016
157,000010011101,0.000179587817431,0.000168,0.000198,0.000202
158,000010011110,4.6463338142e-05,0.000136,8.8e-05,0.000138
159,000010011111,2.8350239285e-05,9.2e-05,6e-05,0.00011
160,000010100000,4.7692298386e-05,0.000194,9.4e-05,0.000166
161,000010100001,7.916619216e-05,0.000166,0.000108,0.000142
162,000010100010,0.000630841573443,0.000558,0.000482,0.000488
163,000010100011,0.000391935006551,0.000446,0.000334,0.000346
164,000010100100,0.000210184958229,0.000414,0.000264,0.000302
165,000010100101,0.001063947906256,0.000724,0.00073,0.000634
166,000010100110,0.000121798035786,0.000184,0.000126,0.000192
167,000010100111,1.882724384e-06,0.000302,0.000156,0.000282
168,000010101000,9.6682931755e-05,0.000194,0.000148,0.000136
169,000010101001,1.6053949941e-05,0.00019,0.000118,0.00016
170,000010101010,5.1331372262e-05,0.000236,0.000118,0.000196
171,000010101011,0.000834563206177,0.000482,0.000596,0.000448
172,000010101100,1.3652848216e-05,0.000192,0.000114,0.000154
173,000010101101,3.7970129266e-05,0.000126,8.8e-05,0.000178
