,bitstring,ideal_prob,fake_guadalupe_prob,depolarization_prob,depolarization_and_readout_prob
0,000000000000,0.000230457407529,0.00053,0.000328,0.000334
1,000000000001,0.000580005924043,0.000646,0.00053,0.000442
2,000000000010,0.000851069576274,0.000664,0.000656,0.000458
3,000000000011,0.000824302652305,0.000718,0.000708,0.000576
4,000000000100,0.000327139646315,0.000448,0.000302,0.000324
5,000000000101,0.000295740482908,0.00046,0.000316,0.000304
6,000000000110,2.1804008364e-05,0.000276,0.000118,0.000214
7,000000000111,1.1319231656e-05,0.000234,0.000136,0.000198
8,000000001000,0.000885039486995,0.00078,0.000636,0.000574
9,000000001001,0.000700914331844,0.00056,0.000512,0.000516
10,000000001010,3.6235177803e-05,0.000242,0.000114,0.000186
11,000000001011,0.000456047280009,0.000408,0.000274,0.000362
12,000000001100,0.001800637403518,0.001468,0.001324,0.001034
13,000000001101,0.001271718658792,0.000926,0.000908,0.000736
14,000000001110,4.764117867e-05,0.000262,0.000172,0.000224
15,000000001111,0.000326150875856,0.00041,0.000402,0.000344
16,000000010000,0.000973088511651,0.00079,0.000758,0.00055
17,000000010001,0.000858078707608,0.000632,0.00072,0.000592
18,000000010010,7.3286534304e-05,0.000276,0.000172,0.000216
19,000000010011,0.000265899830206,0.000316,0.000266,0.000274
20,000000010100,0.000305343318973,0.000416,0.000362,0.000436
21,000000010101,0.000135164465446,0.000324,0.000172,0.00025
22,000000010110,4.607691282e-05,0.000212,0.000114,0.000184
23,000000010111,9.8443455133e-05,0.000198,0.000114,0.000166
24,000000011000,8.5943277929e-05,0.000296,0.000148,0.000236
25,000000011001,0.000139089171933,0.000368,0.00024,0.00026
26,000000011010,0.000122847897135,0.000248,0.00014,0.000202
27,000000011011,2.88857571e-05,0.000182,0.000104,0.000132
28,000000011100,0.000979819233305,0.000758,0.000758,0.00071
29,000000011101,0.000444212106982,0.000328,0.000394,0.000432
30,000000011110,0.000829194476457,0.000482,0.000536,0.000486
31,000000011111,0.0003269747821,0.000242,0.000362,0.000304
32,000000100000,0.000292614470362,0.000492,0.0003,0.000308
33,000000100001,0.000212410202005,0.000474,0.000296,0.000364
34,000000100010,0.000270094319577,0.000458,0.000288,0.0004
35,000000100011,0.000414410062849,0.000568,0.000408,0.000486
36,000000100100,0.000629328430111,0.000698,0.000542,0.000612
37,000000100101,7.9986548109e-05,0.00038,0.000182,0.000304
38,000000100110,0.001126117634544,0.000752,0.000796,0.000678
39,000000100111,0.001239187104146,0.000764,0.000874,0.000776
40,000000101000,0.000471378722983,0.000574,0.000392,0.000498
41,000000101001,4.8641849824e-05,0.000312,0.000148,0.000204
42,000000101010,0.000534643253642,0.000452,0.000442,0.000408
43,000000101011,3.2406438306e-05,0.00027,0.000156,0.000242
44,000000101100,0.001623840149726,0.001254,0.001096,0.00092
45,000000101101,6.2676594604e-05,0.000268,0.000188,0.000268
46,000000101110,0.000223734585607,0.000314,0.000278,0.000324
47,000000101111,2.1639601346e-05,0.000188,0.000166,0.00019
48,000000110000,7.025416797e-06,0.000398,0.000166,0.000294
49,000000110001,0.000234848062825,0.000324,0.000322,0.000286
50,000000110010,0.000272393093811,0.000332,0.000258,0.000322
51,000000110011,0.00032395547242,0.000354,0.000292,0.000322
52,000000110100,0.000937818042581,0.0006,0.000688,0.000526
53,000000110101,0.000701915556322,0.000522,0.000608,0.000502
54,000000110110,0.000413454905279,0.000408,0.000442,0.00039
55,000000110111,0.000105006383687,0.000256,0.000204,0.000294
56,000000111000,0.000665944900721,0.000616,0.000592,0.000502
57,000000111001,0.001607616229168,0.00102,0.001186,0.000846
58,000000111010,0.00049732086242,0.000454,0.000442,0.000396
59,000000111011,0.000357750460729,0.000366,0.000328,0.000338
60,000000111100,0.000569621980915,0.00064,0.000484,0.000488
61,000000111101,0.000652580511665,0.000386,0.000534,0.000454
62,000000111110,5.3906301725e-05,0.000164,0.000138,0.00021
63,000000111111,0.000158271764566,0.000282,0.000236,0.000266
64,000001000000,0.000574937223358,0.000702,0.000462,0.00049
