,bitstring,ideal_prob,fake_guadalupe_prob,depolarization_prob,depolarization_and_readout_prob
0,000000000000,0.000299900453686,0.0003,0.000256,0.000222
1,000000000001,0.000264084434217,0.000254,0.000212,0.000216
2,000000000010,2.1268576256e-05,0.000128,5.6e-05,9.8e-05
3,000000000011,0.000361108134483,0.000366,0.000324,0.000256
4,000000000100,0.000333424661583,0.000426,0.000316,0.000344
5,000000000101,2.7068422165e-05,7.8e-05,3.2e-05,8.2e-05
6,000000000110,0.000115167843853,0.000148,0.000108,0.000142
7,000000000111,0.000253180837706,0.000234,0.000186,0.000184
8,000000001000,0.000109283444658,0.000208,0.000118,0.000158
9,000000001001,5.6614897514e-05,0.000106,5.8e-05,0.000104
10,000000001010,8.759436108e-06,0.000102,3e-05,5.8e-05
11,000000001011,6.8541182081e-05,0.000158,0.0001,0.000132
12,000000001100,0.000427529520228,0.00043,0.000372,0.000332
13,000000001101,7.6714900791e-05,0.000152,0.000108,0.000134
14,000000001110,1.8132581575e-05,9.2e-05,5.8e-05,8.4e-05
15,000000001111,0.000196909523045,0.000196,0.000134,0.0002
16,000000010000,0.000124182106691,0.00027,0.00018,0.000224
17,000000010001,2.191710849e-05,5.2e-05,4e-05,5.6e-05
18,000000010010,5.1393618586e-05,0.000104,8e-05,0.00013
19,000000010011,0.000316097320276,0.000386,0.00035,0.000296
20,000000010100,0.000453349983019,0.00045,0.000404,0.000348
21,000000010101,3.3791990682e-05,0.000108,5.4e-05,0.000102
22,000000010110,0.000150468337624,0.000154,0.00015,0.000162
23,000000010111,8.6351555268e-05,9.6e-05,7.6e-05,0.000124
24,000000011000,1.9091382769e-05,0.000122,7e-05,0.000106
25,000000011001,6.3649492215e-05,0.00019,0.000116,0.000154
26,000000011010,5.4398740179e-05,0.000116,6e-05,6e-05
27,000000011011,7.0299851361e-05,0.000202,0.000116,0.000224
28,000000011100,0.000139315574191,0.000278,0.000192,0.000192
29,000000011101,0.000111878516225,0.000134,0.000136,0.000138
30,000000011110,5.81889916e-07,9.6e-05,4.8e-05,9e-05
31,000000011111,0.000124249446509,0.000174,0.000136,0.00015
32,000000100000,3.0595806426e-05,0.000184,6e-05,0.000148
33,000000100001,0.000177868872651,0.000316,0.000164,0.000188
34,000000100010,0.000123794684939,0.000166,0.00014,0.000134
35,000000100011,6.9392188122e-05,0.00015,0.000106,0.000182
36,000000100100,0.000416003084983,0.00068,0.000486,0.000502
37,000000100101,9.3826900949e-05,0.000164,0.000106,0.000176
38,000000100110,7.22714941e-06,0.0001,4.2e-05,9.6e-05
39,000000100111,0.00023416184893,0.00033,0.000242,0.000292
40,000000101000,0.000183774343567,0.000232,0.00015,0.00017
41,000000101001,0.000134678950071,0.000148,0.000118,0.000164
42,000000101010,1.9184364824e-05,0.000122,6.4e-05,8.8e-05
43,000000101011,0.000157028375651,0.000344,0.00022,0.000272
44,000000101100,0.00020947996005,0.000266,0.00023,0.000228
45,000000101101,0.00010349151559,0.000164,0.000132,0.000144
46,000000101110,9.6438459457e-05,0.00016,0.000132,0.000116
47,000000101111,2.9454220992e-05,8.6e-05,7e-05,0.000108
48,000000110000,0.000102189063071,0.000136,0.000134,0.000118
49,000000110001,4.4006631718e-05,5.8e-05,5.2e-05,8e-05
50,000000110010,3.07030649e-06,6.4e-05,3e-05,7.2e-05
51,000000110011,0.000234045334982,0.000232,0.000208,0.000206
52,000000110100,1.7245991854e-05,0.000158,8.2e-05,0.000148
53,000000110101,5.6046052703e-05,0.000124,0.000108,0.000104
54,000000110110,0.000106708823621,9.2e-05,0.000102,9.4e-05
55,000000110111,2.473027086e-05,5.8e-05,4e-05,8.6e-05
56,000000111000,4.1742026133e-05,0.000126,6e-05,8.8e-05
57,000000111001,0.00013672649042,0.0002,0.000154,0.000152
58,000000111010,5.762093683e-06,8.8e-05,4e-05,7.2e-05
59,000000111011,0.000315955242732,0.000276,0.00027,0.00033
60,000000111100,0.000495105165669,0.000562,0.000436,0.000478
61,000000111101,3.755616152e-06,5e-05,3.8e-05,7e-05
62,000000111110,4.2884425838e-05,0.00013,6.2e-05,0.000106
63,000000111111,9.9148631761e-05,0.000198,0.000134,0.000168
64,000001000000,0.000473184696562,0.000466,0.000388,0.000388
65,000001000001,0.000351688487523,0.00036,0.00029,0.000296
66,000001000010,4.536634993e-05,0.00016,8.8e-05,0.000108
67,000001000011,0.000181309081924,0.000298,0.000242,0.000268
68,000001000100,0.000836177013823,0.000784,0.000724,0.00062
69,000001000101,4.5262155532e-05,0.000126,7.6e-05,0.000126
70,000001000110,8.292649779e-06,0.000162,8.2e-05,0.00014
71,000001000111,0.000231670276587,0.000272,0.000288,0.000264
72,000001001000,4.8293575248e-05,0.00019,0.000118,0.000142
73,000001001001,0.000174184881747,0.000202,0.000162,0.00014
74,000001001010,0.000118357772485,0.00014,0.00014,0.000126
75,000001001011,0.000209452831996,0.000284,0.00027,0.000226
76,000001001100,0.001072719499356,0.000742,0.0008,0.000654
77,000001001101,2.7563691229e-05,0.000142,9e-05,0.00016
78,000001001110,0.000144748701516,0.000198,0.000156,0.000142
79,000001001111,0.000385438421915,0.000256,0.000334,0.00026
80,000001010000,8.724989476e-05,0.000182,0.00015,0.00019
81,000001010001,2.2066480445e-05,0.000106,5e-05,0.000102
82,000001010010,1.0645633201e-05,0.00014,9e-05,0.000116
83,000001010011,0.000501957816412,0.000498,0.000534,0.000472
84,000001010100,9.2288634638e-05,0.000274,0.000176,0.00023
85,000001010101,0.000277974948936,0.00021,0.000224,0.000246
86,000001010110,0.000219842760817,0.000216,0.000248,0.000182
87,000001010111,5.152405672e-06,9e-05,5.2e-05,0.0001
88,000001011000,0.000169615069731,0.000202,0.000148,0.000152
89,000001011001,0.00023572370714,0.000254,0.000224,0.000212
90,000001011010,2.6740544605e-05,0.000102,7e-05,0.000106
91,000001011011,0.000287727008368,0.000296,0.000262,0.000308
92,000001011100,0.000183769133269,0.00034,0.000294,0.000352
93,000001011101,9.9010674884e-05,0.000122,0.000126,0.000182
94,000001011110,5.9410518236e-05,0.000122,8.2e-05,0.000126
95,000001011111,0.000148456796928,0.000172,0.000154,0.000184
96,000001100000,0.000128807908534,0.000272,0.000158,0.000186
97,000001100001,0.000249054954477,0.000334,0.000252,0.000214
98,000001100010,0.000135428121942,0.000242,0.000166,0.000226
99,000001100011,3.3306384241e-05,0.000158,8.8e-05,0.00013
100,000001100100,0.000754545387318,0.00092,0.000782,0.0008
101,000001100101,8.934386704e-05,0.000232,0.000158,0.000196
102,000001100110,8.7043015501e-05,0.000138,0.000118,0.000166
103,000001100111,0.00016353204886,0.0003,0.000268,0.000266
104,000001101000,0.000408636849225,0.000328,0.00037,0.000328
105,000001101001,2.4298618083e-05,0.000202,9.4e-05,0.000156
106,000001101010,3.11837547e-07,0.000116,6e-05,0.000144
107,000001101011,0.00099602924359,0.00057,0.000668,0.000592
108,000001101100,9.2490109341e-05,0.000288,0.000156,0.000278
109,000001101101,0.000531170320203,0.000358,0.0004,0.000336
110,000001101110,0.000240809551116,0.000234,0.000248,0.000184
111,000001101111,0.000151941906134,0.000186,0.000136,0.000172
112,000001110000,0.000393508406766,0.00034,0.000364,0.000274
113,000001110001,0.000106015315933,0.000164,0.000112,0.00016
114,000001110010,8.3250917045e-05,0.000138,0.000108,0.000136
115,000001110011,0.000216920047238,0.000286,0.000246,0.000334
116,000001110100,0.000739665918691,0.000444,0.00059,0.000486
117,000001110101,0.000100944876327,0.000106,0.000172,0.000194
118,000001110110,2.2867783058e-05,9.8e-05,6.6e-05,0.000138
119,000001110111,0.000168168660882,0.000152,0.000192,0.000164
120,000001111000,4.2111322476e-05,0.00022,0.000114,0.000148
121,000001111001,0.000522636166908,0.000378,0.000408,0.000336
122,000001111010,4.404508264e-05,0.000132,0.00011,0.000122
123,000001111011,0.000624663198885,0.000372,0.000496,0.000362
124,000001111100,0.001615259679726,0.001038,0.001286,0.00107
125,000001111101,4.501612555e-05,0.00014,0.000106,0.000216
126,000001111110,0.000397715813629,0.000302,0.00033,0.00033
127,000001111111,0.000791113318102,0.000432,0.00059,0.000438
128,000010000000,1.7134872134e-05,0.000216,5.8e-05,0.000108
129,000010000001,8.2352939754e-05,0.000232,9.2e-05,0.000172
130,000010000010,0.000103905841271,0.000178,0.000112,9.2e-05
131,000010000011,0.000108644835112,0.000254,0.000154,0.000204
132,000010000100,0.000547182358175,0.00064,0.000432,0.000484
133,000010000101,2.5624293918e-05,9.6e-05,4e-05,8.4e-05
134,000010000110,2.1031899233e-05,0.000122,4.8e-05,0.00011
135,000010000111,4.6005488694e-05,0.000148,9.2e-05,0.000116
136,000010001000,0.00024480892558,0.000264,0.000224,0.000222
137,000010001001,0.000131571347281,0.000174,0.000124,0.000148
138,000010001010,3.926959446e-05,0.000132,7.2e-05,6.2e-05
139,000010001011,0.00018080698167,0.0003,0.000186,0.000204
140,000010001100,6.9246029017e-05,0.000212,0.000104,0.000172
141,000010001101,8.8134543103e-05,0.000118,0.0001,0.000132
142,000010001110,6.4028558748e-05,0.000102,7.2e-05,0.000104
143,000010001111,1.714276471e-06,7.6e-05,4.2e-05,7e-05
144,000010010000,0.000393514293825,0.000304,0.00029,0.000276
145,000010010001,6.840085731e-06,7.2e-05,2.4e-05,7.4e-05
146,000010010010,5.4500523547e-05,0.000126,0.000104,0.0001
147,000010010011,0.000409698140561,0.000492,0.000376,0.000368
148,000010010100,0.000688266763462,0.000524,0.000564,0.000518
149,000010010101,5.5743353689e-05,0.000138,0.000116,0.00012
150,000010010110,0.000187560035538,0.000226,0.000176,0.00019
151,000010010111,8.8492623918e-05,0.000104,0.000126,0.0001
152,000010011000,0.000165494478744,0.000234,0.000166,0.000142
153,000010011001,0.000323287857875,0.000274,0.000252,0.000228
154,000010011010,4.2175167968e-05,0.000124,9e-05,0.000118
155,000010011011,0.00070949583566,0.000412,0.000536,0.000384
156,000010011100,0.000310632318165,0.000374,0.000312,0.000326
157,000010011101,0.000204761321301,0.000146,0.000172,0.000204
158,000010011110,0.000208021477553,0.000128,0.00019,0.000186
159,000010011111,0.000223051608755,0.000202,0.000212,0.00021
160,000010100000,8.9164773083e-05,0.000278,0.000154,0.000172
161,000010100001,0.000541905791962,0.000462,0.000452,0.000338
162,000010100010,0.000416219257605,0.000324,0.000308,0.000284
163,000010100011,0.000149064005157,0.000218,0.000174,0.0002
164,000010100100,0.00217706428633,0.001454,0.001582,0.001198
165,000010100101,0.000364595790844,0.000314,0.000358,0.000306
166,000010100110,0.000126218132658,0.000202,0.000184,0.00022
167,000010100111,0.001070822833048,0.000676,0.000766,0.000612
168,000010101000,0.000286673611767,0.000298,0.000258,0.000288
169,000010101001,0.000127836561752,0.000184,0.00015,0.000206
170,000010101010,6.3167367213e-05,0.000186,0.0001,0.000154
171,000010101011,0.000927295439737,0.00065,0.00076,0.000532
172,000010101100,0.000113230745397,0.000212,0.00022,0.000234
173,000010101101,0.000679818314783,0.000426,0.00044,0.0004
174,000010101110,0.000311086016683,0.000224,0.000266,0.000218
175,000010101111,0.000344318282011,0.000274,0.000266,0.000244
176,000010110000,1.6595195824e-05,8.6e-05,6.6e-05,6.4e-05
177,000010110001,1.4847978361e-05,8.2e-05,4e-05,7e-05
178,000010110010,5.3804885206e-05,8e-05,6e-05,6.4e-05
179,000010110011,1.1326917702e-05,0.00012,6.4e-05,0.000108
180,000010110100,0.000243977413434,0.000216,0.000182,0.000218
181,000010110101,9.461409944e-06,0.000118,4.2e-05,0.000128
182,000010110110,2.9315544981e-05,7.6e-05,3.6e-05,7.8e-05
183,000010110111,3.700075378e-05,0.000104,5.2e-05,0.000106
184,000010111000,3.2065255722e-05,0.000104,5.8e-05,8.4e-05
185,000010111001,1.0586999739e-05,7e-05,4.6e-05,8.2e-05
186,000010111010,5.33876833e-06,0.0001,7e-05,7.6e-05
187,000010111011,0.000261176270839,0.000206,0.000192,0.000204
188,000010111100,0.000163284332015,0.000356,0.000262,0.000316
189,000010111101,2.141853454e-05,7e-05,5.2e-05,0.000116
190,000010111110,6.5329412017e-05,8.8e-05,7e-05,9e-05
191,000010111111,0.000102093923861,0.0002,0.000122,0.000154
192,000011000000,3.4784560515e-05,0.000126,5.4e-05,0.00011
193,000011000001,6.4671568402e-05,0.000136,8.4e-05,0.000114
194,000011000010,9.043993076e-06,7.6e-05,3e-05,3.8e-05
195,000011000011,0.000176840004936,0.000258,0.00016,0.000174
196,000011000100,6.6892290533e-05,0.00028,0.000128,0.000248
197,000011000101,4.1794536014e-05,5e-05,3.8e-05,5e-05
198,000011000110,0.000111135224655,0.000124,7.2e-05,0.000116
199,000011000111,1.6141557258e-05,9e-05,4.6e-05,0.000128
200,000011001000,0.000155849789345,0.00019,0.000118,0.000154
201,000011001001,6.1019545875e-05,0.000116,6.6e-05,0.000108
202,000011001010,4.858649191e-05,8.6e-05,4.4e-05,7.2e-05
203,000011001011,0.000145581005945,0.00016,0.000148,0.000154
204,000011001100,0.000399116529693,0.00033,0.000336,0.00028
205,000011001101,3.7042390698e-05,9.8e-05,7e-05,9e-05
206,000011001110,4.6069492404e-05,0.000104,5.2e-05,9.2e-05
207,000011001111,7.3528692248e-05,9e-05,4.2e-05,8e-05
208,000011010000,0.000103191834353,0.000178,0.00013,0.00017
209,000011010001,5.4554288839e-05,0.000118,5.4e-05,0.0001
210,000011010010,0.000116630563747,0.000122,0.00012,0.000114
211,000011010011,0.000158256941681,0.000274,0.000274,0.00029
212,000011010100,0.000313025688642,0.00027,0.000294,0.000228
213,000011010101,1.6624904583e-05,0.00012,6.8e-05,0.000138
214,000011010110,8.2459578569e-05,0.000126,0.000108,0.00014
215,000011010111,0.000105507738872,9.2e-05,0.000122,0.00013
216,000011011000,5.6442462879e-05,0.000142,8.4e-05,8.4e-05
217,000011011001,7.6590375142e-05,0.000122,0.000122,0.00012
218,000011011010,1.8864360968e-05,5.4e-05,3.8e-05,6.6e-05
219,000011011011,0.000177710213722,0.000168,0.000204,0.000186
220,000011011100,0.000504379354526,0.000332,0.000476,0.000388
221,000011011101,4.8968449697e-05,9.6e-05,7.6e-05,0.000104
222,000011011110,6.4714750073e-05,7.2e-05,7.2e-05,9.4e-05
223,000011011111,3.807427715e-05,0.000136,0.000102,0.00013
224,000011100000,3.9334455951e-05,0.000238,0.00011,0.000148
225,000011100001,0.000296799351238,0.000354,0.000308,0.000326
226,000011100010,0.000203097884799,0.000268,0.000232,0.000182
227,000011100011,0.000152157470049,0.00027,0.000148,0.000184
228,000011100100,0.001008648287654,0.000982,0.000888,0.001002
229,000011100101,0.000112625623436,0.000156,0.00014,0.000244
230,000011100110,9.1132130692e-05,0.000162,0.00014,0.00022
231,000011100111,0.000541256833792,0.000434,0.00048,0.00035
232,000011101000,7.739725429e-06,0.000158,9.2e-05,0.000114
233,000011101001,0.000135219203701,0.000162,0.00014,0.00015
234,000011101010,9.3510397368e-05,0.000138,0.000114,0.000138
235,000011101011,0.000254646851428,0.000268,0.000222,0.000254
236,000011101100,7.4300882564e-05,0.000218,0.000122,0.000184
237,000011101101,0.000359087750823,0.000236,0.000286,0.000268
238,000011101110,9.711127182e-05,0.000128,0.0001,0.00011
239,000011101111,9.003075636e-05,0.000122,9e-05,0.00011
240,000011110000,0.000318000095589,0.000246,0.000194,0.000222
241,000011110001,3.7126548714e-05,9e-05,5.2e-05,0.000114
242,000011110010,1.1546812429e-05,7.6e-05,4.4e-05,9.8e-05
243,000011110011,0.000379911292291,0.00029,0.000288,0.00028
244,000011110100,4.4443754741e-05,0.000184,0.000128,0.00024
245,000011110101,0.000312625963398,0.000266,0.000204,0.00021
246,000011110110,7.4406909542e-05,9e-05,8.8e-05,0.000108
247,000011110111,7.5654362401e-05,0.00011,8.6e-05,0.000134
248,000011111000,6.0093578696e-05,0.00011,6.8e-05,0.000118
249,000011111001,0.000232865742299,0.000148,0.000186,0.000182
250,000011111010,0.000114819972965,0.00013,0.000122,0.00016
251,000011111011,6.5873096809e-05,0.000124,0.000114,0.000168
252,000011111100,0.000762764425183,0.00055,0.000586,0.00049
253,000011111101,6.8971185425e-05,8.4e-05,0.00011,0.000138
254,000011111110,5.9902403005e-05,0.000136,9.8e-05,0.000148
255,000011111111,0.000307359706926,0.00023,0.000244,0.000228
256,000100000000,0.000116793680653,0.000262,0.000138,0.000202
257,000100000001,0.000103976548938,0.000152,0.000148,0.000144
258,000100000010,7.1264980384e-05,0.000126,8.8e-05,0.000106
259,000100000011,6.2533953586e-05,0.000246,0.000146,0.000164
260,000100000100,0.000371688483102,0.000494,0.000366,0.00039
261,000100000101,1.9635499328e-05,0.000102,4.4e-05,8.8e-05
262,000100000110,6.7347940894e-05,0.000122,8.8e-05,0.000122
263,000100000111,0.000171160201008,0.000204,0.00018,0.00018
264,000100001000,0.000193674926714,0.000278,0.0002,0.000186
265,000100001001,4.7080549636e-05,0.000148,9.8e-05,0.000118
266,000100001010,8.501824819e-06,8e-05,4.4e-05,6.6e-05
267,000100001011,0.000135137404452,0.000244,0.0002,0.000182
268,000100001100,0.000271993885373,0.000352,0.0003,0.000312
269,000100001101,9.0131348281e-05,0.000164,0.00012,0.000146
270,000100001110,4.7593133667e-05,8.6e-05,6.4e-05,8e-05
271,000100001111,0.000126083563694,0.00015,0.000126,0.000172
272,000100010000,0.000131156910273,0.000214,0.00018,0.000218
273,000100010001,1.1413226196e-05,0.00012,3.4e-05,9.8e-05
274,000100010010,0.000120462332477,0.000144,0.000116,0.000154
275,000100010011,0.000607630421865,0.00049,0.000514,0.0005
276,000100010100,0.000272173156191,0.000398,0.000406,0.000382
277,000100010101,0.000355891586383,0.00024,0.000318,0.000234
278,000100010110,0.000280105847952,0.00027,0.00027,0.000272
279,000100010111,9.3488173429e-05,0.000144,0.00014,0.00015
280,000100011000,0.000310277878469,0.00027,0.00026,0.000256
281,000100011001,0.000875567307723,0.000512,0.000658,0.000488
282,000100011010,4.1064218423e-05,0.00013,8.2e-05,0.000108
283,000100011011,0.000179143617584,0.000224,0.000202,0.000236
284,000100011100,0.000146792574246,0.000274,0.000264,0.000262
285,000100011101,0.000217013037864,0.000198,0.000202,0.000224
