,bitstring,ideal_prob,fake_guadalupe_prob,depolarization_prob,depolarization_and_readout_prob
0,000000000000,9.3796066583e-05,0.000274,0.000134,0.000186
1,000000000001,3.0769132005e-05,9e-05,4.2e-05,5e-05
2,000000000010,3.2460286663e-05,0.000136,7.2e-05,9.8e-05
3,000000000011,5.7570644905e-05,0.000118,6.8e-05,8.4e-05
4,000000000100,1.3849513913e-05,7e-05,2.2e-05,4.2e-05
5,000000000101,1.4029504957e-05,0.000136,7.2e-05,9e-05
6,000000000110,1.658781776e-05,0.000264,0.00011,0.000182
7,000000000111,7.810069446e-06,5.4e-05,1.2e-05,4.8e-05
8,000000001000,2.4960365601e-05,0.000302,8.8e-05,0.000182
9,000000001001,1.5479030169e-05,0.000156,7e-05,7.4e-05
10,000000001010,2.8972871801e-05,0.000208,8.8e-05,0.000166
11,000000001011,1.050034507e-06,7.4e-05,2.2e-05,6.4e-05
12,000000001100,3.2686570928e-05,9.4e-05,3.8e-05,8e-05
13,000000001101,1.3959714192e-05,9.4e-05,5e-05,4.8e-05
14,000000001110,7.610406529e-06,0.00011,3.4e-05,9.6e-05
15,000000001111,2.7817981123e-05,8.8e-05,4.8e-05,8e-05
16,000000010000,8.765704569e-05,0.00019,0.000122,0.00012
17,000000010001,2.5009292984e-05,0.000112,5e-05,8.6e-05
18,000000010010,2.1499415092e-05,0.000162,9.8e-05,0.000138
19,000000010011,9.051469994e-06,9e-05,4e-05,5.4e-05
20,000000010100,5.2479529708e-05,8e-05,7.4e-05,0.000104
21,000000010101,1.7452393648e-05,0.000224,0.000118,0.000142
22,000000010110,2.8042173963e-05,0.000202,9e-05,0.000142
23,000000010111,1.0646039513e-05,0.0001,4.2e-05,5.4e-05
24,000000011000,0.000101001328454,0.000298,0.000186,0.000204
25,000000011001,9.643266159e-06,7.2e-05,5.6e-05,8e-05
26,000000011010,7.644004101e-06,0.00023,7.4e-05,0.000236
27,000000011011,1.9794115744e-05,6e-05,6.4e-05,9e-05
28,000000011100,6.55641497e-06,9.2e-05,4.2e-05,0.0001
29,000000011101,0.00012709382108,0.000122,0.000114,0.000138
30,000000011110,0.000286091741181,0.000268,0.000232,0.000238
31,000000011111,4.1599814715e-05,0.000102,8e-05,8.6e-05
32,000000100000,0.000186474215572,0.000292,0.000204,0.000184
33,000000100001,3.8177750856e-05,8.8e-05,6.2e-05,7.4e-05
34,000000100010,8.4038703146e-05,0.000166,8e-05,0.00013
35,000000100011,8.1502431263e-05,0.000138,9.6e-05,0.000114
36,000000100100,1.1895436509e-05,0.000114,3.2e-05,0.000102
37,000000100101,2.739618795e-06,0.000106,4.8e-05,6.2e-05
38,000000100110,1.6200703295e-05,0.00023,0.000156,0.000154
39,000000100111,6.853309326e-06,6.2e-05,2.8e-05,6e-05
40,000000101000,8.5330541104e-05,0.000538,0.00029,0.00033
41,000000101001,5.4848731965e-05,0.000124,9.2e-05,0.000124
42,000000101010,5.6638037124e-05,0.00024,0.000132,0.000134
43,000000101011,1.0966862649e-05,0.00012,8.2e-05,0.000118
44,000000101100,4.7156894044e-05,0.000104,7e-05,0.000122
45,000000101101,5.817397836e-06,8.2e-05,5.8e-05,7.2e-05
46,000000101110,1.1748036823e-05,0.000156,9.2e-05,0.000146
47,000000101111,9.149038421e-06,5.8e-05,5.4e-05,6.4e-05
48,000000110000,1.3178103878e-05,0.000242,0.000122,0.00018
49,000000110001,5.484406251e-06,0.000112,5.6e-05,0.0001
50,000000110010,3.338366061e-06,0.000166,7.6e-05,0.00012
51,000000110011,4.942843094e-06,0.00013,4.4e-05,0.000108
52,000000110100,3.20447897e-06,5e-05,2e-05,4.2e-05
53,000000110101,2.8331025749e-05,0.000152,7e-05,6.8e-05
54,000000110110,6.348047185e-06,6.6e-05,4.4e-05,9e-05
55,000000110111,2.3227729368e-05,5e-05,5e-05,5.6e-05
56,000000111000,2.8681689014e-05,0.000236,0.000164,0.000164
57,000000111001,5.164363994e-06,5.2e-05,2.6e-05,7.4e-05
58,000000111010,2.5140578213e-05,0.000176,6.6e-05,0.000126
59,000000111011,1.716310231e-06,6.8e-05,3.8e-05,5.8e-05
60,000000111100,7.200839799e-06,8.2e-05,1.6e-05,6.6e-05
61,000000111101,3.5079995844e-05,0.00013,5.2e-05,0.000104
62,000000111110,7.542701565e-05,0.000338,0.00014,0.00028
63,000000111111,1.1256263816e-05,5.6e-05,3.6e-05,5.6e-05
64,000001000000,0.001140909314265,0.000988,0.000908,0.000742
65,000001000001,6.3538113358e-05,0.000208,0.000154,0.000154
66,000001000010,0.000113562453405,0.000386,0.000158,0.00023
67,000001000011,0.000112702970556,0.000196,0.000134,0.000154
68,000001000100,8.8007804174e-05,0.000206,0.000174,0.00026
69,000001000101,8.9231142669e-05,0.00033,0.000176,0.000214
70,000001000110,0.001361245629969,0.001014,0.000904,0.000756
71,000001000111,0.000168496716069,0.00023,0.00022,0.000192
72,000001001000,0.002189039008642,0.001594,0.00158,0.001252
73,000001001001,0.001117240567484,0.000768,0.000754,0.00066
74,000001001010,0.001170471722772,0.000912,0.000864,0.000682
75,000001001011,0.000327226934335,0.00034,0.000334,0.000342
76,000001001100,4.5963656735e-05,0.000196,0.00013,0.000174
77,000001001101,0.000419196395335,0.0003,0.000342,0.000286
78,000001001110,0.000335663167723,0.000394,0.000326,0.000316
79,000001001111,0.000442911181847,0.000388,0.00034,0.000316
80,000001010000,0.000314173484477,0.000486,0.000406,0.0004
81,000001010001,7.1605505703e-05,0.000208,0.000156,0.000212
82,000001010010,9.3645068354e-05,0.00032,0.000224,0.000278
83,000001010011,6.8495704279e-05,0.000182,0.000116,0.000146
84,000001010100,0.000196169840731,0.000288,0.00028,0.000256
85,000001010101,0.001835488074125,0.00092,0.001234,0.00097
86,000001010110,0.00087256354193,0.000644,0.00065,0.000596
87,000001010111,0.000237020546561,0.000264,0.000288,0.000284
88,000001011000,0.001272064606592,0.00112,0.00105,0.000972
89,000001011001,0.000152347026297,0.000262,0.00021,0.00027
90,000001011010,0.001238616722281,0.000916,0.000984,0.000818
91,000001011011,0.000393926660798,0.000356,0.000338,0.000344
92,000001011100,0.000440852129239,0.000322,0.000396,0.000336
93,000001011101,0.000245585568993,0.000262,0.000246,0.000298
94,000001011110,0.000294255197622,0.000436,0.000314,0.000474
95,000001011111,0.000480207267901,0.000312,0.000392,0.000322
96,000001100000,0.000263353778201,0.000492,0.000314,0.000322
97,000001100001,0.000265623246587,0.00029,0.000228,0.000246
98,000001100010,0.000282915073133,0.000418,0.000324,0.000322
99,000001100011,0.000343188206551,0.000334,0.000314,0.00029
100,000001100100,0.000518951350062,0.000366,0.000434,0.000354
101,000001100101,0.000594499547948,0.000476,0.000482,0.00038
102,000001100110,0.000580579522469,0.000656,0.000652,0.000548
103,000001100111,0.000180927400875,0.000206,0.000206,0.000212
104,000001101000,0.001006800108191,0.001062,0.000876,0.000782
105,000001101001,2.0826801939e-05,0.000282,0.000138,0.000204
106,000001101010,0.000216878813611,0.000382,0.000308,0.00041
107,000001101011,0.000317779469783,0.000378,0.000334,0.000242
108,000001101100,0.000347133546519,0.000252,0.0003,0.000294
109,000001101101,5.5725218498e-05,0.000154,0.000114,0.00014
110,000001101110,0.000191798812858,0.000336,0.000246,0.000272
111,000001101111,0.000250040094807,0.00023,0.0002,0.00019
112,000001110000,0.001103462995777,0.000828,0.000918,0.000788
113,000001110001,0.00090233795893,0.00061,0.000742,0.000598
114,000001110010,0.00146368115112,0.00089,0.001094,0.000862
115,000001110011,0.000555249335759,0.000388,0.000478,0.000428
116,000001110100,0.00016970266951,0.000202,0.000178,0.000202
117,000001110101,0.000230371438039,0.000326,0.000284,0.000294
118,000001110110,2.684529046e-05,0.000208,0.000156,0.000246
119,000001110111,5.8857027246e-05,0.00011,9.6e-05,0.000114
120,000001111000,0.001508805914495,0.000974,0.001064,0.000874
121,000001111001,0.000271919403255,0.000238,0.000218,0.000278
122,000001111010,0.000857065312783,0.000684,0.000664,0.00065
123,000001111011,0.000313405953989,0.000264,0.000258,0.000304
124,000001111100,8.9654765017e-05,0.00023,0.000222,0.000222
125,000001111101,0.000675016354718,0.0004,0.000532,0.000438
126,000001111110,0.002576951705764,0.001306,0.001812,0.001428
127,000001111111,2.1489310565e-05,0.000162,0.00014,0.000198
128,000010000000,0.000727241338024,0.000588,0.000538,0.000444
129,000010000001,0.000140028330652,0.000164,0.000122,0.000146
130,000010000010,0.000280086712305,0.000284,0.000278,0.000264
131,000010000011,0.000196982563224,0.000214,0.000202,0.000174
132,000010000100,1.439713668e-05,0.000122,6.4e-05,7.4e-05
133,000010000101,0.00014940018929,0.000208,0.000166,0.000146
134,000010000110,1.67348215e-05,0.000298,0.000156,0.000182
135,000010000111,3.8508966838e-05,7.6e-05,5.6e-05,8.8e-05
136,000010001000,0.000493408737793,0.000544,0.000372,0.000394
137,000010001001,0.000176624733993,0.00024,0.000184,0.000174
138,000010001010,0.000443155595899,0.000438,0.000356,0.000292
139,000010001011,3.7187803325e-05,0.000118,7.6e-05,0.000116
140,000010001100,0.000143608753762,0.00018,0.000172,0.000132
141,000010001101,0.000268507802618,0.00026,0.000236,0.000194
142,000010001110,9.734412652e-05,0.000194,0.000144,0.000152
143,000010001111,0.000240544209307,0.000226,0.00021,0.00016
144,000010010000,0.000410685363186,0.000382,0.000334,0.000312
145,000010010001,0.000272667548404,0.000238,0.00022,0.000226
146,000010010010,0.000464812743416,0.000428,0.000418,0.000368
147,000010010011,0.000183676735706,0.000194,0.000164,0.000212
148,000010010100,0.000181075524311,0.000174,0.0002,0.000156
149,000010010101,0.000142998851592,0.0002,0.000184,0.000154
