,bitstring,ideal_prob,noisy_prob
0,000000000000,1.7783116835e-05,0.000494
0,000000000001,1.000780458e-06,0.000176
0,000000000010,7.928787027e-06,0.000178
0,000000000011,2.474493752e-06,0.000192
0,000000000100,0.00010599837764,0.00033
0,000000000101,1.0552878489e-05,0.000162
0,000000000110,0.000191781674665,0.000434
0,000000000111,0.000117523578924,0.000272
0,000000001000,5.9003031367e-05,0.00024
0,000000001001,2.767005454e-06,7.2e-05
0,000000001010,4.4686737812e-05,0.000336
0,000000001011,1.5852509701e-05,7.4e-05
0,000000001100,5.799566839e-06,0.0002
0,000000001101,7.067793827e-06,0.000206
0,000000001110,9.0250919044e-05,0.000448
0,000000001111,1.0465225607e-05,6e-05
0,000000010000,8.3038002683e-05,0.00026
0,000000010001,9.735100115e-06,0.000102
0,000000010010,2.261165011e-05,0.000178
0,000000010011,2.3288714706e-05,0.000112
0,000000010100,3.2915498246e-05,0.000172
0,000000010101,0.000110912000468,0.000344
0,000000010110,0.000148440278341,0.000274
0,000000010111,7.1485161592e-05,0.000156
0,000000011000,9.3050320417e-05,0.000284
0,000000011001,1.899770042e-06,6.8e-05
0,000000011010,0.000188511942351,0.000678
0,000000011011,4.34667248e-07,8.2e-05
0,000000011100,4.1402225258e-05,0.000106
0,000000011101,2.3808765658e-05,9.8e-05
0,000000011110,8.8390945224e-05,0.000372
0,000000011111,1.58127212e-06,2.6e-05
0,000000100000,7.4870730405e-05,0.000472
0,000000100001,4.8581304458e-05,0.000144
0,000000100010,1.029452554e-05,0.00018
0,000000100011,3.3429151733e-05,0.000162
0,000000100100,6.5624538411e-05,0.000244
0,000000100101,1.3190176664e-05,0.000228
0,000000100110,0.000139243445263,0.000498
0,000000100111,3.6177164118e-05,0.00018
0,000000101000,8.1963429438e-05,0.000396
0,000000101001,1.8907740605e-05,8e-05
0,000000101010,1.0396086825e-05,0.00043
0,000000101011,1.5753078632e-05,8.4e-05
0,000000101100,7.146525145e-06,0.000188
0,000000101101,2.3892474792e-05,0.00013
0,000000101110,6.590647875e-06,0.000176
0,000000101111,6.58703173e-07,3.6e-05
0,000000110000,2.7090875208e-05,0.000136
0,000000110001,7.939929374e-06,8e-05
0,000000110010,5.532456408e-05,0.000252
0,000000110011,7.736801307e-06,5e-05
0,000000110100,1.2890019512e-05,0.000122
0,000000110101,1.3764929775e-05,0.000384
0,000000110110,5.1866903466e-05,0.000254
0,000000110111,1.292204997e-05,9.6e-05
0,000000111000,3.5108027624e-05,0.000504
0,000000111001,2.48600776e-06,6.2e-05
0,000000111010,1.0178343575e-05,0.000494
0,000000111011,2.975396915e-06,9.2e-05
0,000000111100,5.6642448113e-05,0.000134
