,bitstring,ideal_prob,fake_guadalupe_prob,depolarization_prob,depolarization_and_readout_prob
0,000000000000,0.00033271383612,0.000446,0.000342,0.000276
1,000000000001,0.00013147078411,0.000284,0.000192,0.000194
2,000000000010,0.000332592294258,0.000362,0.000304,0.000238
3,000000000011,6.1895690268e-05,0.000222,0.000176,0.000172
4,000000000100,7.8205870652e-05,0.000342,0.000168,0.0002
5,000000000101,0.000186565783233,0.00024,0.000164,0.000176
6,000000000110,4.8106063804e-05,0.00019,0.000104,0.000126
7,000000000111,2.512072314e-05,0.000296,0.000132,0.000196
8,000000001000,0.000410522537164,0.00036,0.000314,0.000266
9,000000001001,0.000169189914633,0.000352,0.000244,0.000288
10,000000001010,6.0430580729e-05,0.000162,0.00014,0.00012
11,000000001011,0.000211978999376,0.000278,0.00021,0.000238
12,000000001100,0.000445729061175,0.000394,0.000364,0.00033
13,000000001101,0.00013133131611,0.000176,0.000168,0.000188
14,000000001110,0.00016632578864,0.00023,0.000162,0.000202
15,000000001111,0.001322077165141,0.000978,0.000944,0.000866
16,000000010000,0.00044709642124,0.000488,0.000456,0.000404
17,000000010001,0.000427275789911,0.00046,0.000464,0.00038
18,000000010010,0.000248127122865,0.000286,0.00025,0.000222
19,000000010011,0.000260544810683,0.000338,0.000252,0.000262
20,000000010100,0.00140422948953,0.000878,0.001056,0.000954
21,000000010101,0.000462563936791,0.000342,0.000394,0.000356
22,000000010110,0.000540112322099,0.000414,0.000462,0.000412
23,000000010111,0.001303443415396,0.000838,0.00097,0.000814
24,000000011000,0.000103113592458,0.0002,0.000124,0.000146
25,000000011001,4.7765031177e-05,0.000182,0.000176,0.000192
26,000000011010,0.000353764203182,0.000254,0.000262,0.000254
27,000000011011,3.9512651068e-05,0.000178,0.000158,0.000156
28,000000011100,8.4702098879e-05,0.000188,0.000144,0.000196
29,000000011101,1.7847526388e-05,9.6e-05,5.8e-05,9.8e-05
30,000000011110,0.000136595333843,0.000298,0.000264,0.000244
31,000000011111,0.000268896372394,0.000692,0.000608,0.000542
32,000000100000,0.000106365748555,0.000198,0.000134,0.000166
33,000000100001,5.5701927356e-05,0.000226,0.00011,0.000136
34,000000100010,0.000252335973215,0.000402,0.000288,0.000286
35,000000100011,0.000253654232662,0.000324,0.000246,0.000226
36,000000100100,0.000253384696101,0.000368,0.000272,0.000246
37,000000100101,2.0372791414e-05,9.8e-05,6.8e-05,9e-05
38,000000100110,0.000117398343119,0.000178,0.000152,0.000142
39,000000100111,0.000274086710201,0.00033,0.000302,0.000264
40,000000101000,6.560594234e-06,0.000118,6.2e-05,9.2e-05
41,000000101001,2.0804204291e-05,0.000358,0.000198,0.000244
42,000000101010,9.049249174e-06,0.000136,6.4e-05,9.2e-05
43,000000101011,8.204720277e-06,0.00022,9.8e-05,0.000184
44,000000101100,5.9696995392e-05,0.000148,0.00017,0.000172
45,000000101101,0.00011615518475,0.000174,0.00015,0.00015
46,000000101110,5.2417012568e-05,0.000178,9.4e-05,0.000156
47,000000101111,0.000406606189412,0.000718,0.000532,0.000526
48,000000110000,0.000183583061074,0.000298,0.000194,0.000226
49,000000110001,0.00029907805868,0.000316,0.000304,0.000302
50,000000110010,0.000193425646762,0.00023,0.000178,0.000228
51,000000110011,0.000622117865049,0.000584,0.000466,0.000372
52,000000110100,0.001305486306966,0.001082,0.001096,0.000842
53,000000110101,2.6175924989e-05,0.000134,0.00012,0.000192
54,000000110110,0.000140992626703,0.000298,0.000254,0.000282
55,000000110111,0.000435071212259,0.000512,0.00048,0.000466
56,000000111000,1.8982737003e-05,0.000158,0.000124,0.000122
57,000000111001,0.000351602069446,0.000352,0.000368,0.000282
58,000000111010,9.5055369075e-05,0.00017,0.000126,0.000178
59,000000111011,0.000485404507687,0.000452,0.000424,0.000382
60,000000111100,9.943526929e-06,0.000176,0.000122,0.000168
61,000000111101,7.372756872e-06,0.000108,7.8e-05,0.00011
62,000000111110,0.000226116421402,0.000238,0.000244,0.00021
63,000000111111,0.000453145952084,0.00056,0.000524,0.000508
64,000001000000,0.000130191523607,0.000276,0.000148,0.000134
65,000001000001,8.2423672362e-05,0.00019,0.000118,0.000122
66,000001000010,0.000125634648263,0.000254,0.000186,0.000194
67,000001000011,0.000338973472677,0.000364,0.00033,0.000276
68,000001000100,0.000103525615005,0.000202,0.00018,0.000172
69,000001000101,4.0828910357e-05,0.000138,9.2e-05,0.000108
70,000001000110,0.000117536861941,0.00014,0.00012,0.000114
71,000001000111,0.00029929758615,0.000436,0.000288,0.000306
72,000001001000,0.000100159075822,0.000226,0.000166,0.000164
73,000001001001,0.000659285014978,0.000526,0.00052,0.000412
74,000001001010,2.4968890762e-05,0.000148,8e-05,0.00013
75,000001001011,7.6932613907e-05,0.000186,0.000122,0.00017
76,000001001100,0.000206100469282,0.000234,0.000208,0.000208
77,000001001101,0.000148290598825,0.000174,0.00015,0.000202
78,000001001110,0.000160094268586,0.000238,0.000174,0.000206
79,000001001111,0.001320472825344,0.000838,0.000884,0.000722
80,000001010000,0.000296606120194,0.000314,0.000278,0.000302
81,000001010001,3.0340880653e-05,0.000144,0.000104,0.000176
82,000001010010,9.9410164531e-05,0.00015,0.000142,0.000142
83,000001010011,0.000254762133178,0.000272,0.000308,0.00026
84,000001010100,9.7746685443e-05,0.0004,0.0003,0.000334
85,000001010101,3.9212339351e-05,0.000112,7.4e-05,0.000102
86,000001010110,0.00014848210187,0.0002,0.000168,0.000196
87,000001010111,0.000312678823838,0.000324,0.000318,0.000372
88,000001011000,6.3827796301e-05,0.000138,8.4e-05,0.000134
89,000001011001,0.000153200329513,0.000206,0.000166,0.00019
90,000001011010,8.97243084e-07,0.0001,5e-05,8.2e-05
91,000001011011,0.000176826079905,0.000236,0.00017,0.000224
92,000001011100,0.000148393523843,0.000188,0.000156,0.000154
93,000001011101,2.157432203e-05,7.4e-05,5.8e-05,9e-05
94,000001011110,0.000178245657435,0.000222,0.000224,0.000218
95,000001011111,0.000535528422045,0.000492,0.000542,0.000476
96,000001100000,8.8311664731e-05,0.000138,0.000118,0.000128
97,000001100001,3.9812035095e-05,0.000112,8.4e-05,9e-05
98,000001100010,8.84124732e-06,0.000148,8e-05,0.00011
99,000001100011,0.000114260276088,0.00018,0.000148,0.000134
100,000001100100,0.000155581304369,0.000224,0.000166,0.000166
101,000001100101,5.8594587504e-05,0.000126,6.6e-05,0.000102
