,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,000000000000,2.573839157897235e-05,8.6e-05,0.000264
1,000000000001,5.257593627711268e-05,0.00012,0.000254
2,000000000010,0.0003264127310010492,8.8e-05,0.000156
3,000000000011,0.0006667648556240781,6.4e-05,0.000128
4,000000000100,1.9809742514064e-05,0.000398,0.000642
5,000000000101,4.046545631609445e-05,7.6e-05,0.000168
6,000000000110,9.230962688963882e-05,7.4e-05,0.000106
7,000000000111,0.0001885613188463066,6.2e-05,6.6e-05
8,000000001000,1.785684779633698e-05,0.00015,0.000404
9,000000001001,3.647626888299125e-05,0.000126,0.00031
10,000000001010,5.662385501521617e-05,0.000254,0.000436
11,000000001011,0.00011566582099390601,5e-05,0.0001
12,000000001100,2.0573848221330005e-06,0.000264,0.000442
13,000000001101,4.202629871958855e-06,6.6e-05,0.000102
14,000000001110,0.00011814337138986891,7.4e-05,0.000112
15,000000001111,0.00024133203299430913,8.6e-05,0.000168
16,000000010000,1.1407796209501204e-05,9.8e-05,0.000196
17,000000010001,1.9416507690110507e-05,7.2e-05,0.000132
18,000000010010,0.00014467298409154825,6.8e-05,7.8e-05
19,000000010011,0.00024623898048119187,7.6e-05,0.000122
20,000000010100,8.780094314353308e-06,0.000174,0.000224
21,000000010101,1.4944058049752859e-05,0.000144,0.000228
22,000000010110,4.091356713184861e-05,3.8e-05,5.6e-05
23,000000010111,6.963646406864816e-05,6.6e-05,9.8e-05
24,000000011000,7.91453032252089e-06,0.000392,0.000562
25,000000011001,1.3470834861412629e-05,0.000158,0.000224
26,000000011010,2.5096882865736547e-05,9.2e-05,0.000122
27,000000011011,4.2715859418537326e-05,8.2e-05,0.000136
28,000000011100,9.118762026524131e-07,0.00016,0.00019
29,000000011101,1.552048351502197e-06,4.2e-05,6.6e-05
30,000000011110,5.236362576052047e-05,8.4e-05,8.4e-05
31,000000011111,8.912490402085028e-05,0.000166,0.000168
32,000000100000,0.00021767095552119065,6e-05,0.000142
33,000000100001,2.5318415461777984e-05,3.2e-05,7.2e-05
34,000000100010,0.0027604899410002912,6.4e-05,0.000166
35,000000100011,0.0003210866191906816,6.8e-05,8.6e-05
36,000000100100,0.00016753205298142529,4e-05,9.8e-05
37,000000100101,1.9486504804428967e-05,0.000122,0.000198
38,000000100110,0.0007806674565200059,8.6e-05,0.000154
39,000000100111,9.080340073087435e-05,8.4e-05,0.000104
40,000000101000,0.00015101631780288312,0.00015,0.000386
41,000000101001,1.7565475680879572e-05,6e-05,0.000124
42,000000101010,0.0004788709732944231,7.6e-05,0.000176
43,000000101011,5.569991745303783e-05,0.000104,0.000144
44,000000101100,1.739941358551534e-05,0.000194,0.00028
45,000000101101,2.0238142516285113e-06,0.000122,0.000184
46,000000101110,0.0009991448168011141,5.4e-05,0.000116
47,000000101111,0.00011621561322998816,7.2e-05,0.000122
48,000000110000,2.8062182451297638e-05,9.4e-05,0.000152
49,000000110001,8.330949401272002e-06,6.4e-05,9.2e-05
50,000000110010,0.0003558829068115182,0.00014,0.000236
51,000000110011,0.00010565259828133067,4.2e-05,9e-05
52,000000110100,2.1598265262117324e-05,8.2e-05,0.0001
53,000000110101,6.411976522718026e-06,0.000102,0.000176
54,000000110110,0.00010064380222983934,0.000112,0.000142
55,000000110111,2.9878589285903746e-05,0.000172,0.00019
56,000000111000,1.946905343048899e-05,0.000204,0.0003
57,000000111001,5.779867595884892e-06,0.000138,0.000206
