,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,000000000000,5.538804074949483e-05,0.000128,0.000204
1,000000000001,9.1026593012596e-05,0.000168,0.000322
2,000000000010,0.0002384364301391602,9.8e-05,0.000238
3,000000000011,0.0003918545518483892,7.4e-05,0.000244
4,000000000100,1.8622345631694132e-05,8e-05,0.00022
5,000000000101,3.0604597198567223e-05,0.000126,0.000322
6,000000000110,0.0007158559268498067,0.00026,0.000504
7,000000000111,0.001176462016479728,0.000338,0.000554
8,000000001000,0.00021209126108659096,0.000246,0.00041
9,000000001001,0.0003485580035548276,0.000186,0.00029
10,000000001010,0.0002404479471624204,0.000306,0.000624
11,000000001011,0.00039516034744860426,0.000232,0.000336
12,000000001100,0.00019824826258186602,9.2e-05,0.000108
13,000000001101,0.00032580794823760525,7.4e-05,0.000106
14,000000001110,3.204715360954848e-05,0.000106,0.000226
15,000000001111,5.2667383957883055e-05,7.4e-05,9.6e-05
16,000000010000,2.959558346559259e-05,6.2e-05,0.000106
17,000000010001,9.844695909482307e-06,0.000176,0.000206
18,000000010010,0.00012740413226271802,0.000236,0.000336
19,000000010011,4.2379801067145785e-05,0.000318,0.000378
20,000000010100,9.95050875622359e-06,0.000164,0.000254
21,000000010101,3.3099443017755967e-06,0.000356,0.000504
22,000000010110,0.00038250448193757105,0.0003,0.000354
23,000000010111,0.00012723656261304445,0.000164,0.000252
24,000000011000,0.00011332707448887767,0.000104,0.000144
25,000000011001,3.7697198568540254e-05,6.6e-05,4.6e-05
26,000000011010,0.0001284789494822619,0.000358,0.000492
27,000000011011,4.273732903063354e-05,7.2e-05,8.8e-05
28,000000011100,0.00010593032219150745,0.000202,0.000172
29,000000011101,3.5236737629493984e-05,5.4e-05,3.2e-05
30,000000011110,1.712380861738117e-05,0.000206,0.00032
31,000000011111,5.696075863693565e-06,0.000128,0.000106
32,000000100000,2.7566962833084613e-05,0.000124,0.000212
33,000000100001,6.592001536675273e-05,7.4e-05,0.000192
34,000000100010,0.00011867125319394074,9.4e-05,0.000188
35,000000100011,0.00028377485330911373,0.000102,0.000194
36,000000100100,9.26845403713707e-06,5e-05,0.000126
37,000000100101,2.216336403301022e-05,0.000176,0.000266
38,000000100110,0.0003562858238399043,0.000176,0.000234
39,000000100111,0.0008519751386719827,4.8e-05,9.2e-05
40,000000101000,0.00010555910323745154,0.00014,0.000236
41,000000101001,0.0002524201795332426,0.00019,0.000284
42,000000101010,0.0001196723973808081,0.00037,0.000738
43,000000101011,0.00028616885806699105,0.000218,0.000288
44,000000101100,9.866935916789482e-05,9.6e-05,0.000134
45,000000101101,0.00023594495019121673,8.8e-05,0.00014
46,000000101110,1.595006215251681e-05,0.000288,0.000398
47,000000101111,3.814088438254406e-05,8.6e-05,6.4e-05
48,000000110000,0.00017634919720117823,0.000116,0.000196
49,000000110001,0.0002199757254189962,0.00015,0.000194
50,000000110010,0.0007591543674333565,0.000158,0.000228
51,000000110011,0.0009469594153618072,7.6e-05,6.8e-05
52,000000110100,5.9291422078006605e-05,0.000152,0.000158
53,000000110101,7.39593589862186e-05,5.6e-05,5.8e-05
54,000000110110,0.002279203530282304,0.000222,0.000296
55,000000110111,0.0028430492336147554,7e-05,5.4e-05
56,000000111000,0.0006752743574224896,0.00011,0.000116
57,000000111001,0.000842328567344713,4.6e-05,6.8e-05
58,000000111010,0.0007655588079481019,5.8e-05,0.00011
59,000000111011,0.0009549482322687918,8.4e-05,9e-05
60,000000111100,0.0006311998308616705,6.4e-05,7.2e-05
61,000000111101,0.0007873505685412672,6.8e-05,7.4e-05
62,000000111110,0.00010203447775282175,0.000212,0.000244
63,000000111111,0.00012727649809383672,6e-05,5e-05
64,000001000000,4.452536252244037e-05,0.000254,0.000406
65,000001000001,7.317449756706622e-05,0.000358,0.000554
66,000001000010,0.0001225232438863781,0.000214,0.000536
67,000001000011,0.00020135887287058628,0.000146,0.000424
68,000001000100,0.00012390341795066322,0.000182,0.0004
69,000001000101,0.00020362709794473946,0.00029,0.0005
70,000001000110,4.414958051286456e-05,0.000514,0.000898
71,000001000111,7.255692461116738e-05,0.000688,0.00093
72,000001001000,7.694133613125217e-05,0.000442,0.000816
73,000001001001,0.00012644801287593326,0.000272,0.000528
74,000001001010,1.944983289115332e-05,0.000668,0.001146
75,000001001011,3.1964517949881885e-05,0.00039,0.0006
76,000001001100,0.00027768627693208455,0.00015,0.000286
77,000001001101,0.00045635908715024236,0.000188,0.000216
78,000001001110,4.169524958052968e-05,0.00023,0.00041
79,000001001111,6.852339354791325e-05,0.000162,0.0002
80,000001010000,2.3791310633797252e-05,0.000122,0.000192
81,000001010001,7.913958471204514e-06,0.00033,0.00046
82,000001010010,6.546804764794886e-05,0.000446,0.000562
83,000001010011,2.1777337879851456e-05,0.000564,0.000728
84,000001010100,6.620551833952535e-05,0.000426,0.000508
85,000001010101,2.2022650654616198e-05,0.000766,0.000802
86,000001010110,2.3590518410805148e-05,0.000564,0.000656
87,000001010111,7.847166803500297e-06,0.000374,0.000412
88,000001011000,4.1112191451680066e-05,0.000194,0.000328
89,000001011001,1.3675588571678268e-05,0.000154,9.4e-05
90,000001011010,1.0392661392833365e-05,0.000688,0.000856
91,000001011011,3.457022268934435e-06,0.000162,0.00016
92,000001011100,0.000148376567847241,0.000342,0.00039
93,000001011101,4.9356086939356084e-05,0.00012,8.2e-05
94,000001011110,2.227909170249058e-05,0.0005,0.000528
95,000001011111,7.41093289157422e-06,0.000202,0.000186
96,000001100000,2.2160542188828496e-05,0.000182,0.000396
97,000001100001,5.299181090308335e-05,0.000216,0.000304
98,000001100010,6.0980559425827916e-05,0.00017,0.000326
99,000001100011,0.0001458209030412058,0.000212,0.000378
100,000001100100,6.166748040404797e-05,0.000124,0.000228
101,000001100101,0.00014746351567554588,0.00036,0.000458
102,000001100110,2.1973513210169194e-05,0.000272,0.00053
103,000001100111,5.254457436049068e-05,0.00015,0.000176
104,000001101000,3.829416828537023e-05,0.000252,0.00049
105,000001101001,9.157164599935573e-05,0.000396,0.000562
106,000001101010,9.680299450292806e-06,0.00082,0.001294
107,000001101011,2.3148197078577717e-05,0.000426,0.000594
108,000001101100,0.00013820613930118543,0.000156,0.000304
109,000001101101,0.0003304880150082998,0.000178,0.000202
110,000001101110,2.0751977862895104e-05,0.000482,0.000738
111,000001101111,4.9623555119056546e-05,0.000152,0.000174
112,000001110000,0.00014176367009326648,0.000282,0.000332
113,000001110001,0.00017683418275644527,0.000306,0.000322
114,000001110010,0.0003901000180809612,0.000324,0.000372
115,000001110011,0.000486605756222573,0.000162,0.000122
116,000001110100,0.0003944943347049299,0.000302,0.000342
117,000001110101,0.0004920871703850404,9.4e-05,8.8e-05
118,000001110110,0.00014056722308386507,0.000534,0.000562
119,000001110111,0.00017534175011146857,0.000124,0.000106
