,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,000000000000,0.0002483367386500919,0.00028,0.00046
1,000000000001,0.00095561926930789,0.000708,0.001328
2,000000000010,0.00012478165463577527,0.000358,0.000674
3,000000000011,0.00048016960468376065,0.000694,0.001218
4,000000000100,0.0007202510584378919,0.000116,0.000192
5,000000000101,0.0027715826257686815,0.00019,0.000372
6,000000000110,0.0001030956916400152,0.00039,0.000634
7,000000000111,0.0003967203163307966,0.000454,0.00076
8,000000001000,0.0007680132116749252,0.000102,0.000168
9,000000001001,0.002955375141628591,0.000408,0.000726
10,000000001010,1.4813738981717411e-06,0.0001,0.000276
11,000000001011,5.700443075147616e-06,0.000168,0.000296
12,000000001100,1.9731775956827063e-05,0.000152,0.000316
13,000000001101,7.592942318767576e-05,0.000328,0.000466
14,000000001110,3.1356197038802804e-05,0.000186,0.000254
15,000000001111,0.00012066110824107766,0.00019,0.00037
16,000000010000,0.0003667962128606973,0.000102,0.00016
17,000000010001,0.0009678143603523857,0.000432,0.000642
18,000000010010,0.00018430393587226448,0.000172,0.000238
19,000000010011,0.00048629726685423886,0.000134,0.000166
20,000000010100,0.001063819078803988,0.000142,0.000136
21,000000010101,0.0028069520490778947,0.000228,0.00023
22,000000010110,0.00015227351966272517,0.000164,0.00019
23,000000010111,0.00040178304427302325,0.000166,0.000128
24,000000011000,0.0011343643272462673,9.2e-05,0.00022
25,000000011001,0.0029930900246163553,0.000194,0.000236
26,000000011010,2.188006247620429e-06,0.00048,0.000564
27,000000011011,5.773189015427512e-06,9.4e-05,0.000126
28,000000011100,2.914405952708298e-05,0.0004,0.000536
29,000000011101,7.689839300491307e-05,0.000134,0.000132
30,000000011110,4.631346286524337e-05,0.000198,0.00013
31,000000011111,0.0001222009193853165,0.000386,0.000482
32,000000100000,2.1627458110483245e-05,8.8e-05,0.000234
33,000000100001,0.0001067141955750286,0.000482,0.000822
34,000000100010,1.0867139607541181e-05,0.000228,0.000364
35,000000100011,5.3620636114337025e-05,0.000126,0.00025
36,000000100100,6.272611809300235e-05,0.000246,0.000376
37,000000100101,0.00030950318801423985,0.000432,0.000678
38,000000100110,8.97852554735119e-06,0.00014,0.000196
39,000000100111,4.430183733755555e-05,0.000272,0.000408
40,000000101000,6.688568777252481e-05,0.000146,0.000182
41,000000101001,0.0003300273351433636,0.000288,0.0005
42,000000101010,1.2901172860216563e-07,0.000328,0.000428
43,000000101011,6.365696221531785e-07,0.000138,0.00031
44,000000101100,1.7184253939688262e-06,0.000104,0.000196
45,000000101101,8.479053924704952e-06,0.000346,0.000572
46,000000101110,2.730787404421425e-06,0.000152,0.000256
47,000000101111,1.3474250171267183e-05,0.000698,0.00104
48,000000110000,0.0005275324817608527,0.000134,0.000182
49,000000110001,0.0005754964911209156,0.000362,0.000394
50,000000110010,0.0002650690200171547,0.000122,0.000162
51,000000110011,0.00028916947524358573,0.000352,0.000486
52,000000110100,0.0015300024894181372,0.00016,0.00017
53,000000110101,0.0016691125087261783,0.000162,0.000162
54,000000110110,0.00021900233676797808,0.000244,0.00025
55,000000110111,0.00023891434312548783,0.000136,8e-05
56,000000111000,0.0016314618520897064,0.000194,0.000246
57,000000111001,0.001779796702074717,0.00021,0.000226
58,000000111010,3.146827381104442e-06,0.000114,0.000134
59,000000111011,3.432941436978294e-06,0.000242,0.000356
60,000000111100,4.191547652850779e-05,0.000338,0.000414
61,000000111101,4.572649173241374e-05,0.000148,7.6e-05
62,000000111110,6.660880114789981e-05,0.000146,0.00014
63,000000111111,7.266496881942674e-05,0.000214,0.000244
64,000001000000,7.710361220273472e-05,0.000122,0.000196
65,000001000001,0.0002967007538018538,0.000354,0.000658
66,000001000010,6.605529352073951e-06,0.000164,0.000294
67,000001000011,2.5418595601816693e-05,0.000356,0.000496
68,000001000100,0.0004004255798343456,5.4e-05,0.000108
69,000001000101,0.0015408690719444773,0.000108,0.000174
70,000001000110,6.609736678575632e-06,0.000226,0.000286
71,000001000111,2.5434785724547336e-05,0.000246,0.000412
72,000001001000,4.460890657888004e-05,3.4e-05,7.8e-05
73,000001001001,0.00017165857513172056,0.00025,0.000328
74,000001001010,0.00023661910825915075,6.6e-05,0.000128
75,000001001011,0.000910528907514951,0.000102,9.8e-05
76,000001001100,0.0009727009566792131,8.8e-05,0.000148
77,000001001101,0.0037430296561419816,0.000164,0.000248
78,000001001110,5.80482879806375e-05,8e-05,0.000106
79,000001001111,0.00022337437000326908,0.000136,0.000192
80,000001010000,0.00011388292005272521,5.2e-05,8e-05
81,000001010001,0.0003004870867294064,0.000222,0.000236
82,000001010010,9.756442657059932e-06,7.2e-05,0.000112
83,000001010011,2.574297383229322e-05,7.4e-05,8.2e-05
84,000001010100,0.0005914331766381693,5.8e-05,7e-05
85,000001010101,0.0015605328012386975,0.000106,9.4e-05
86,000001010110,9.76265692658555e-06,9.8e-05,9.8e-05
87,000001010111,2.5759370564525234e-05,8e-05,7e-05
88,000001011000,6.588786694200947e-05,5e-05,0.000116
89,000001011001,0.00017384918808766888,0.000108,0.000102
90,000001011010,0.00034948913830353917,0.000218,0.000274
91,000001011011,0.0009221485799958461,4e-05,7.4e-05
92,000001011100,0.0014366904755829225,0.000284,0.00026
93,000001011101,0.003790796155735443,6.6e-05,5e-05
94,000001011110,8.573798750069509e-05,8.6e-05,8.8e-05
95,000001011111,0.00022622495168018487,0.0002,0.000218
96,000001100000,6.714895074108166e-06,6.2e-05,0.000108
97,000001100001,3.3132632718259094e-05,0.00024,0.000366
98,000001100010,5.752705384475499e-07,0.00014,0.000172
99,000001100011,2.838499671798563e-06,5e-05,0.00011
100,000001100100,3.4872759871569104e-05,0.000114,0.000186
101,000001100101,0.00017206915848200354,0.000244,0.00032
102,000001100110,5.756369513197123e-07,9.4e-05,8e-05
103,000001100111,2.8403076260528905e-06,0.000146,0.00017
104,000001101000,3.884955821009495e-06,6.4e-05,0.00011
105,000001101001,1.9169147532996405e-05,0.000168,0.00018
106,000001101010,2.0606978572047808e-05,0.000174,0.00023
107,000001101011,0.00010167894582498386,8.4e-05,0.00016
108,000001101100,8.47117881508784e-05,3.8e-05,9.8e-05
109,000001101101,0.00041798487284372047,0.00019,0.000284
110,000001101110,5.0553813483691755e-06,8e-05,0.000128
111,000001101111,2.4944260724505723e-05,0.000404,0.000464
112,000001110000,0.00016378833079283472,5.2e-05,8.6e-05
113,000001110001,0.00017868020058821533,0.00016,0.000206
114,000001110010,1.4031879903817195e-05,6.4e-05,6.2e-05
115,000001110011,1.5307678536726915e-05,0.000184,0.000198
116,000001110100,0.0008506091407932023,6.4e-05,8e-05
117,000001110101,0.0009279477430619732,8e-05,8.4e-05
118,000001110110,1.4040817370754526e-05,0.000124,0.000136
119,000001110111,1.531742861096836e-05,7.4e-05,5.8e-05
120,000001111000,9.476103827453523e-05,9.6e-05,0.00013
121,000001111001,0.0001033768476965407,0.000116,0.000112
122,000001111010,0.0005026411560790762,7.4e-05,5.8e-05
123,000001111011,0.0005483420104311291,0.000134,0.000146
124,000001111100,0.0020662724028567762,0.000178,0.000188
125,000001111101,0.002254140851336486,7.8e-05,5.6e-05
126,000001111110,0.00012330981548220086,9e-05,6.8e-05
127,000001111111,0.00013452132064721762,9.6e-05,0.000132
128,000010000000,0.0001729667961471508,0.000548,0.0007
129,000010000001,0.0006655898126356654,0.00142,0.001958
130,000010000010,0.00019477109753356447,0.00076,0.000992
131,000010000011,0.0007494944764075957,0.001486,0.001858
132,000010000100,0.0005659841291443038,0.000274,0.000324
133,000010000101,0.002177951369067566,0.000384,0.000534
134,000010000110,0.00039020359552564355,0.000898,0.000984
135,000010000111,0.0015015340737116055,0.00107,0.001136
136,000010001000,0.0001711325262851043,0.00016,0.000224
137,000010001001,0.0006585313981827313,0.00089,0.001048
138,000010001010,0.0004912786261215239,0.000216,0.000434
139,000010001011,0.0018904787276856699,0.00039,0.000402
140,000010001100,1.658812034259596e-05,0.000384,0.00048
141,000010001101,6.383238954957187e-05,0.000602,0.000668
142,000010001110,0.0005129306266230598,0.000366,0.000334
143,000010001111,0.001973797325694182,0.000542,0.000658
144,000010010000,0.00025547394284989596,0.000232,0.00026
145,000010010001,0.0006740837062019384,0.000996,0.000824
146,000010010010,0.000287679146220464,0.000388,0.000366
147,000010010011,0.0007590591154544382,0.000382,0.000308
148,000010010100,0.0008359650538936221,0.000268,0.00022
149,000010010101,0.0022057451945892087,0.000472,0.000358
150,000010010110,0.0005763351885082848,0.000366,0.00032
151,000010010111,0.0015206958312477296,0.000308,0.000264
152,000010011000,0.00025276470521385237,0.000254,0.000306
153,000010011001,0.0006669352161198832,0.000434,0.000342
154,000010011010,0.0007256241686200249,0.000922,0.000776
155,000010011011,0.0019146039844089955,0.000224,0.000216
156,000010011100,2.4500844108751588e-05,0.00083,0.000756
157,000010011101,6.464698363232676e-05,0.00027,0.00019
158,000010011110,0.0007576044218358466,0.000334,0.000252
159,000010011111,0.00199898584884698,0.000954,0.000722
160,000010100000,1.506354701487746e-05,0.000256,0.000378
161,000010100001,7.432654794601535e-05,0.00101,0.001272
162,000010100010,1.6962467075704473e-05,0.000528,0.000598
163,000010100011,8.369619858721645e-05,0.00023,0.00035
164,000010100100,4.929112829138878e-05,0.000522,0.000604
165,000010100101,0.0002432122664499086,0.00089,0.001016
166,000010100110,3.398253501541536e-05,0.00027,0.000264
167,000010100111,0.00016767661133568432,0.000522,0.000576
168,000010101000,1.4903801844588224e-05,0.000218,0.00025
