,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,000000000000,0.0005711755195782916,0.000424,0.000678
1,000000000001,9.560562748327174e-05,0.000206,0.000286
2,000000000010,6.135364641479882e-05,0.000368,0.000682
3,000000000011,1.0269617066579485e-05,0.000398,0.000638
4,000000000100,0.0004942631138667985,0.000414,0.000598
5,000000000101,8.273172347785444e-05,0.000256,0.000298
6,000000000110,0.0005217415547483858,0.000312,0.00037
7,000000000111,8.73311740717556e-05,0.000156,0.0002
8,000000001000,0.0006292843453740385,0.000124,0.000262
9,000000001001,0.00010533211358446226,0.000222,0.000308
10,000000001010,0.0006341434833669189,0.000186,0.000292
11,000000001011,0.00010614545540481917,0.000284,0.00054
12,000000001100,0.0011687191344298756,0.000208,0.00038
13,000000001101,0.00019562485150163858,0.000678,0.000754
14,000000001110,0.00032104883456808846,0.000178,0.000268
15,000000001111,5.373842930859003e-05,0.000418,0.000438
16,000000010000,0.0005082536284237571,0.000144,0.000198
17,000000010001,0.0005980364517844132,0.000208,0.000226
18,000000010010,5.4594800264501584e-05,0.00038,0.000432
19,000000010011,6.423895238548015e-05,0.000346,0.000458
20,000000010100,0.0004398140543633561,0.00018,0.000206
21,000000010101,0.0005175070512179033,0.000356,0.000322
22,000000010110,0.00046426541266352596,0.000154,0.000122
23,000000010111,0.0005462777332974245,0.00013,9.4e-05
24,000000011000,0.0005599610643025527,0.000338,0.000468
25,000000011001,0.0006588779878885942,0.000118,0.00018
26,000000011010,0.0005642849094801551,0.0002,0.00024
27,000000011011,0.0006639656387846592,0.000488,0.00047
28,000000011100,0.0010399705875364224,0.000466,0.000476
29,000000011101,0.001223681023309665,0.000258,0.000302
30,000000011110,0.00028568142274536517,0.00038,0.000354
31,000000011111,0.0003361469448417128,0.00023,0.000232
32,000000100000,0.0006280552366338234,0.00019,0.000376
33,000000100001,0.00021030524704939053,0.000224,0.000378
34,000000100010,6.746346367548161e-05,0.000232,0.000332
35,000000100011,2.2590242971498e-05,0.000146,0.000324
36,000000100100,0.0005434836163289598,0.0003,0.00071
37,000000100101,0.00018198631192370296,0.00014,0.000168
38,000000100110,0.0005736984594002382,0.000288,0.00056
39,000000100111,0.00019210379788038568,0.000396,0.000428
40,000000101000,0.0006919507487569738,0.000398,0.000632
41,000000101001,0.00023170075604064984,0.000398,0.000546
42,000000101010,0.0006972937772260651,0.000168,0.000228
43,000000101011,0.00023348987721446039,0.00046,0.00065
44,000000101100,0.0012851043985126886,0.000178,0.000284
45,000000101101,0.0004303191538725157,0.000182,0.000206
46,000000101110,0.0003530200347426401,0.000342,0.00052
47,000000101111,0.00011820929321097407,0.000286,0.000372
48,000000110000,0.00037624190325257184,0.000434,0.000584
49,000000110001,7.178125849299506e-05,0.000442,0.0006
50,000000110010,4.0414569440287644e-05,0.000176,0.000266
51,000000110011,7.710487935547504e-06,0.000486,0.000636
52,000000110100,0.00032557854511356874,0.00086,0.00102
53,000000110101,6.211545684979623e-05,0.000162,0.000204
54,000000110110,0.0003436790073030807,0.001114,0.00118
55,000000110111,6.556875097795143e-05,0.00018,0.000196
56,000000111000,0.0004145190605601991,0.00077,0.000852
57,000000111001,7.908396055601158e-05,0.00032,0.000334
58,000000111010,0.00041771984782075586,0.00015,0.000198
59,000000111011,7.969462230247017e-05,0.000244,0.00032
60,000000111100,0.0007698528673467102,0.000468,0.000616
61,000000111101,0.00014687627081104478,0.000248,0.00015
62,000000111110,0.0002114796947952189,0.00063,0.000636
63,000000111111,4.034712377032806e-05,0.000646,0.000678
64,000001000000,6.411644773581062e-05,0.000162,0.000402
65,000001000001,1.0732065727022713e-05,6.8e-05,0.000174
66,000001000010,5.167991110249442e-05,0.000146,0.000354
67,000001000011,8.65038882072821e-06,0.000178,0.000322
68,000001000100,0.0004850357047363183,0.000182,0.000324
69,000001000101,8.118720308136445e-05,8.6e-05,0.000176
70,000001000110,0.00047668434709453346,0.000108,0.000208
71,000001000111,7.978931966319987e-05,7.4e-05,9.4e-05
72,000001001000,0.00038092661698010835,6.2e-05,0.00011
73,000001001001,6.376101039545906e-05,8.2e-05,0.000208
74,000001001010,8.85203731669951e-05,8.8e-05,0.00017
75,000001001011,1.4816891711206995e-05,0.000154,0.000246
76,000001001100,1.5731350922668717e-05,8.2e-05,0.000188
77,000001001101,2.633176010820143e-06,0.00022,0.000432
78,000001001110,0.00106516276556692,8.4e-05,0.000156
