,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,00000000000000,8.546931680156693e-05,8.4e-05,0.000138
1,00000000000001,1.2340162656385018e-05,4.4e-05,0.000108
2,00000000000010,2.9771258772526383e-05,6.4e-05,0.000154
3,00000000000011,5.3052358337636285e-06,6.2e-05,8.4e-05
4,00000000000100,6.71768333403663e-05,7.6e-05,0.000128
5,00000000000101,8.447032142372408e-06,6e-05,6.8e-05
6,00000000000110,0.00018584524403370364,9.8e-05,0.000178
7,00000000000111,1.1189788887662876e-05,5.6e-05,7.4e-05
8,00000000001000,9.319780711132056e-05,6.2e-05,0.000146
9,00000000001001,4.216344225152791e-05,5.2e-05,8.2e-05
10,00000000001010,5.8274203615491104e-05,7.4e-05,8.6e-05
11,00000000001011,2.722033177888464e-07,3.2e-05,8e-05
12,00000000001100,0.00013567669345030742,8.4e-05,0.000142
13,00000000001101,2.089413320879424e-05,5e-05,9e-05
14,00000000001110,2.2919188179096165e-05,6e-05,8.2e-05
15,00000000001111,9.246196994601406e-05,6.6e-05,8e-05
16,00000000010000,8.491685920476063e-06,3.6e-05,0.0001
17,00000000010001,2.035824647129913e-06,5.8e-05,8.2e-05
18,00000000010010,2.5668464378323527e-05,3.8e-05,0.000112
19,00000000010011,1.7734477432604756e-05,3.8e-05,9.2e-05
20,00000000010100,3.652634625542216e-05,8e-05,7.6e-05
21,00000000010101,8.532703888642688e-05,7e-05,9.4e-05
22,00000000010110,8.650552523332764e-06,3.6e-05,6.8e-05
23,00000000010111,5.3530070493413635e-05,4.6e-05,5.8e-05
24,00000000011000,4.2204077923834016e-05,4.8e-05,9.8e-05
25,00000000011001,3.0047244512549326e-05,4.4e-05,8e-05
26,00000000011010,2.1742579713828922e-05,6.6e-05,9.4e-05
27,00000000011011,3.828407886833064e-06,5.8e-05,7.6e-05
28,00000000011100,1.6821273939950375e-05,5.8e-05,0.00011
29,00000000011101,1.9644799790793127e-05,3.8e-05,9e-05
30,00000000011110,0.00015099175121823828,8.4e-05,0.000134
31,00000000011111,1.5243280738662253e-05,3.8e-05,7.2e-05
32,00000000100000,8.982197262562414e-06,6.8e-05,7.8e-05
33,00000000100001,0.00010578726303657352,6.6e-05,8.8e-05
34,00000000100010,4.1758125430701086e-05,6.8e-05,0.000104
35,00000000100011,8.404761057682349e-05,6.4e-05,0.000124
36,00000000100100,0.000212918502502981,0.000104,0.000136
37,00000000100101,0.00017036722676217408,0.000108,0.000112
38,00000000100110,2.3642382053073668e-05,5.8e-05,7.8e-05
39,00000000100111,1.3243213628737992e-05,5.8e-05,8e-05
40,00000000101000,0.00023449357067059973,0.00011,0.000158
41,00000000101001,0.00014115203185408493,8.6e-05,0.00011
42,00000000101010,7.150897780102149e-05,4.2e-05,7.2e-05
43,00000000101011,1.2971437001939235e-05,4.8e-05,8.6e-05
44,00000000101100,1.4588574887045022e-05,4.6e-05,6.4e-05
45,00000000101101,4.633951573575099e-05,5.2e-05,7.6e-05
46,00000000101110,4.714306443499786e-05,6.6e-05,9.2e-05
47,00000000101111,3.975680032371835e-05,6e-05,6.2e-05
48,00000000110000,2.3126598428502405e-05,3.8e-05,8.8e-05
49,00000000110001,6.465635708257504e-05,6.4e-05,8.8e-05
50,00000000110010,5.285932365200538e-05,6e-05,9.8e-05
51,00000000110011,3.11884497148348e-05,5.6e-05,8.8e-05
52,00000000110100,0.00016579392146747658,0.000114,8.8e-05
53,00000000110101,5.287457717404858e-05,6.8e-05,7.6e-05
54,00000000110110,9.831926272936292e-05,0.000106,8e-05
55,00000000110111,2.347740920413121e-05,4.6e-05,5.4e-05
56,00000000111000,1.570546002822521e-05,4e-05,6e-05
57,00000000111001,4.154212991650293e-06,3e-05,6.6e-05
58,00000000111010,2.838412746695641e-05,4e-05,8e-05
59,00000000111011,3.7627737138634825e-05,6.8e-05,7e-05
60,00000000111100,9.566853587686038e-06,5.4e-05,7.8e-05
61,00000000111101,0.00043936454576393364,0.000188,0.000204
62,00000000111110,4.654762309442803e-05,5e-05,3e-05
63,00000000111111,3.417614895302024e-05,5.8e-05,5.4e-05
64,00000001000000,3.1074359754851364e-05,2.4e-05,0.000106
65,00000001000001,4.704363525015764e-05,7.2e-05,7.8e-05
66,00000001000010,4.322957666613012e-05,4e-05,0.00011
67,00000001000011,0.00010825958946842769,7.4e-05,9.2e-05
68,00000001000100,1.0874382146255129e-05,3.8e-05,6.2e-05
69,00000001000101,0.0001449453823666088,8.8e-05,0.000126
70,00000001000110,7.419944476275154e-05,7.4e-05,9.8e-05
71,00000001000111,4.043029856322063e-05,4.6e-05,7.8e-05
72,00000001001000,5.128467492747913e-05,4.6e-05,0.000106
73,00000001001001,3.191803197979741e-05,4.4e-05,6.4e-05
74,00000001001010,3.6249521511723906e-05,6.8e-05,0.000108
75,00000001001011,4.6669344817504157e-05,4e-05,8.6e-05
76,00000001001100,1.7649349660676227e-06,4e-05,8.8e-05
77,00000001001101,2.563467241575734e-05,3e-05,5.6e-05
78,00000001001110,4.4026765024159895e-05,4.4e-05,0.000102
79,00000001001111,3.552747282024434e-05,6.6e-05,7.8e-05
80,00000001010000,1.3572243283088499e-05,5.2e-05,0.000116
81,00000001010001,4.8963977412287796e-05,8.6e-05,0.000122
82,00000001010010,5.507054768752324e-05,7.4e-05,0.00012
83,00000001010011,0.0003852191218521525,0.000164,0.00021
84,00000001010100,6.319923979139983e-05,6.2e-05,9.6e-05
85,00000001010101,1.9017262145972157e-05,3.8e-05,7e-05
86,00000001010110,5.264024797972935e-06,4.8e-05,0.000108
87,00000001010111,8.079945929557729e-05,6.8e-05,7e-05
88,00000001011000,7.812651921917309e-05,6e-05,0.000116
89,00000001011001,0.0001342872994865339,8e-05,0.000126
90,00000001011010,4.446235657180614e-06,6.2e-05,8.6e-05
91,00000001011011,2.3676842026486094e-06,4e-05,7.8e-05
92,00000001011100,1.0218473522135793e-05,4e-05,7.6e-05
93,00000001011101,5.923114081172483e-05,7.4e-05,8.2e-05
94,00000001011110,9.393304065889736e-05,6.8e-05,0.000102
95,00000001011111,2.1933946540591375e-05,5e-05,4.6e-05
96,00000001100000,2.161358405663751e-05,5.6e-05,7e-05
97,00000001100001,2.610181557170641e-06,4.2e-05,7.4e-05
98,00000001100010,2.821078001876013e-05,5.2e-05,8.2e-05
99,00000001100011,7.132473918756081e-07,4.2e-05,7.4e-05
100,00000001100100,0.00017418254182951484,9.6e-05,0.00012
101,00000001100101,4.220039305384776e-05,5.6e-05,7.4e-05
102,00000001100110,9.332845198703307e-05,7e-05,8e-05
103,00000001100111,0.00013108288798036809,9e-05,0.000122
104,00000001101000,5.916718348386662e-05,5.8e-05,9.6e-05
105,00000001101001,2.036478517201408e-05,4.8e-05,7.2e-05
106,00000001101010,0.00012438465253431988,8e-05,9e-05
107,00000001101011,0.00013560919843562578,7.6e-05,0.000104
108,00000001101100,9.627218538557324e-05,6e-05,8.8e-05
109,00000001101101,1.3806976804430747e-05,3.8e-05,5e-05
110,00000001101110,4.3251111326646486e-05,5.2e-05,6.2e-05
111,00000001101111,2.704303774570637e-05,4e-05,6.6e-05
112,00000001110000,1.9907918671409016e-05,4e-05,6.6e-05
113,00000001110001,3.958495610022002e-06,5.2e-05,9.2e-05
114,00000001110010,2.7389944117941993e-05,6.4e-05,7e-05
115,00000001110011,0.00028240870810936004,9.6e-05,0.000174
116,00000001110100,2.5777265893189936e-05,5.8e-05,7.4e-05
117,00000001110101,0.00012203387671543093,8.6e-05,7.8e-05
118,00000001110110,4.7734779839510676e-05,5.6e-05,6e-05
119,00000001110111,1.887087605468042e-05,4.6e-05,5.8e-05
120,00000001111000,1.8535527744944775e-05,5.8e-05,9e-05
121,00000001111001,0.00010067957249476656,6e-05,0.000122
122,00000001111010,1.628161897245424e-05,4.4e-05,7.2e-05
123,00000001111011,0.00015788471129663808,8.8e-05,0.000104
124,00000001111100,1.1038520208846643e-05,2e-05,5e-05
125,00000001111101,4.132654715399872e-05,5.4e-05,5.4e-05
126,00000001111110,5.0435393231648965e-05,7.4e-05,7.8e-05
127,00000001111111,6.287137317551825e-05,6.6e-05,7e-05
128,00000010000000,1.3930521771340596e-05,4.2e-05,7.6e-05
129,00000010000001,9.37016755018171e-06,5.4e-05,8.2e-05
130,00000010000010,0.00016241236745971087,7.8e-05,0.000174
131,00000010000011,7.4068795470369465e-06,4.4e-05,7.6e-05
132,00000010000100,7.173249357167604e-06,4e-05,6.6e-05
133,00000010000101,2.5241965155518065e-05,3.8e-05,7.6e-05
134,00000010000110,0.00011596353712321627,7.8e-05,9.4e-05
135,00000010000111,2.3256429727586583e-05,4.6e-05,6.2e-05
