,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,00000000000000,9.233205607955228e-05,5.2e-05,0.00014
1,00000000000001,0.0001664558445855731,9.6e-05,0.00011
2,00000000000010,1.0283927096286096e-05,4.2e-05,7e-05
3,00000000000011,3.534986096820647e-05,5e-05,0.000126
4,00000000000100,4.263197744100649e-05,5e-05,8.8e-05
5,00000000000101,2.8444051685213513e-05,4.4e-05,8.8e-05
6,00000000000110,6.157930140321816e-06,4.6e-05,6.6e-05
7,00000000000111,9.360347137088853e-05,5e-05,9.6e-05
8,00000000001000,0.0001126807039213789,7.2e-05,0.000148
9,00000000001001,6.191820251351041e-05,6.2e-05,0.00012
10,00000000001010,0.000113609713594534,8.4e-05,0.000178
11,00000000001011,2.2297682909866877e-05,6.2e-05,9.8e-05
12,00000000001100,7.049843782674187e-06,3.6e-05,7.4e-05
13,00000000001101,7.839683321833066e-06,4e-05,5.2e-05
14,00000000001110,3.823384189546715e-05,4.4e-05,6.2e-05
15,00000000001111,5.693884935808758e-06,6.4e-05,5.6e-05
16,00000000010000,0.00017211992938341624,7.6e-05,0.000176
17,00000000010001,6.0510147132878545e-06,3.4e-05,0.000104
18,00000000010010,3.456343352615194e-05,3.8e-05,8.6e-05
19,00000000010011,3.80554801794304e-05,4.6e-05,0.000122
20,00000000010100,4.2814789494466e-05,5e-05,0.0001
21,00000000010101,0.00013324186607066604,7.2e-05,7.8e-05
22,00000000010110,9.575710366415858e-06,5e-05,6e-05
23,00000000010111,3.288421050139849e-05,6.2e-05,8.6e-05
24,00000000011000,6.783943801767551e-05,5.6e-05,9.6e-05
25,00000000011001,4.577510963428256e-05,6.2e-05,7.8e-05
26,00000000011010,2.5552650326164267e-05,3.4e-05,6.6e-05
27,00000000011011,5.8288640766271075e-06,5.6e-05,6.4e-05
28,00000000011100,5.326440551176132e-05,5.4e-05,0.0001
29,00000000011101,3.3304332250853435e-05,7e-05,7.2e-05
30,00000000011110,1.6109894938751362e-05,3.8e-05,4.2e-05
31,00000000011111,1.72160030934908e-05,5.6e-05,6.6e-05
32,00000000100000,3.1526143687699446e-06,4e-05,7.2e-05
33,00000000100001,5.851962497759154e-06,4e-05,8e-05
34,00000000100010,2.5671211843932103e-07,4e-05,5.8e-05
35,00000000100011,3.755462292228509e-05,6e-05,8.4e-05
36,00000000100100,1.833274751084873e-05,3.4e-05,7.6e-05
37,00000000100101,2.1353424284179273e-05,4e-05,7.6e-05
