,bitstring,ideal_prob,depolarize_single_0.0016_prob
0,00000000000000,1.8282436068291894e-05,4.6e-05
1,00000000000001,9.435953020714906e-06,4.6e-05
2,00000000000010,0.00011913527409345487,7e-05
3,00000000000011,1.7046844489717836e-05,3.4e-05
4,00000000000100,3.954835806742298e-05,7e-05
5,00000000000101,7.702678436690956e-06,5.4e-05
6,00000000000110,0.0001493684300376283,9e-05
7,00000000000111,0.0001427345868064436,0.000108
8,00000000001000,0.00017487750069292783,0.000126
9,00000000001001,1.3287288271638133e-05,3.8e-05
10,00000000001010,8.510618226244434e-06,5.8e-05
11,00000000001011,9.422562229876641e-07,3.8e-05
12,00000000001100,7.31391811113611e-05,8.2e-05
13,00000000001101,4.168685216769594e-05,3.4e-05
14,00000000001110,2.3826697985219523e-06,3.8e-05
15,00000000001111,1.863759752797622e-05,7e-05
16,00000000010000,0.00011196804088400222,8.6e-05
17,00000000010001,7.509418832132919e-06,5.6e-05
18,00000000010010,7.42109144924649e-05,5.8e-05
19,00000000010011,3.156387389780847e-05,3.6e-05
20,00000000010100,4.015672360384667e-05,6e-05
21,00000000010101,2.5092655637740886e-05,6.4e-05
22,00000000010110,1.3466127759535508e-05,5.2e-05
23,00000000010111,1.9441723188411793e-05,4.6e-05
24,00000000011000,2.2337947302881428e-05,3.6e-05
25,00000000011001,0.00013793658302853123,8.8e-05
26,00000000011010,1.2411267872420672e-05,5.8e-05
27,00000000011011,8.894340879350238e-05,7.8e-05
28,00000000011100,5.18300199661999e-05,5.2e-05
29,00000000011101,3.2494705358865315e-05,4.8e-05
30,00000000011110,2.9120751323383552e-05,3.2e-05
31,00000000011111,0.00014323832687918844,0.000102
32,00000000100000,4.589113335235142e-05,5.4e-05
33,00000000100001,3.4356507976110124e-05,3.6e-05
34,00000000100010,1.8632078963169672e-05,2.4e-05
35,00000000100011,2.4524158499077454e-05,5.8e-05
36,00000000100100,0.00015450069277431856,9.8e-05
37,00000000100101,7.636143352867982e-06,4.2e-05
38,00000000100110,8.486241900576855e-07,3.6e-05
39,00000000100111,8.184040237561749e-05,7.4e-05
40,00000000101000,0.00029406828719829605,0.000152
41,00000000101001,1.907562403915708e-06,4.8e-05
42,00000000101010,6.829755815382607e-05,9.4e-05
43,00000000101011,0.00016530977234769482,8.2e-05
44,00000000101100,3.567690119310873e-05,5.4e-05
45,00000000101101,5.081500155056888e-05,6.8e-05
46,00000000101110,7.772384870582318e-05,6.8e-05
47,00000000101111,5.191920864209293e-05,6e-05
48,00000000110000,6.751659907499005e-05,5e-05
49,00000000110001,4.713906453918077e-05,6.2e-05
50,00000000110010,2.5014845413810207e-05,5.8e-05
51,00000000110011,3.9483467446227885e-05,4.6e-05
52,00000000110100,5.325165012153353e-06,5.2e-05
53,00000000110101,2.4833541147068397e-05,5e-05
54,00000000110110,1.2759344347968896e-05,4.2e-05
55,00000000110111,0.00018508307404477484,9.6e-05
56,00000000111000,4.495974278286612e-06,3e-05
57,00000000111001,2.0844016348701404e-05,3.8e-05
58,00000000111010,3.3767090829820746e-05,5.4e-05
59,00000000111011,3.6626942354635044e-05,6e-05
60,00000000111100,3.3572551061140195e-06,4.2e-05
61,00000000111101,0.00021255970599174252,9.8e-05
62,00000000111110,2.3591974735944464e-05,4e-05
63,00000000111111,0.00016014210308405662,8.8e-05
64,00000001000000,8.842043898036813e-06,4.2e-05
65,00000001000001,6.778776043659934e-05,7.2e-05
66,00000001000010,3.529125141134496e-05,5e-05
67,00000001000011,6.190713603762278e-06,4.4e-05
68,00000001000100,3.8633230869898246e-05,4.6e-05
69,00000001000101,6.27246852586704e-05,5.4e-05
70,00000001000110,3.286256202424074e-05,4e-05
71,00000001000111,3.921133187155387e-05,5.6e-05
72,00000001001000,7.486478037567567e-05,7e-05
73,00000001001001,1.1851211528643673e-05,4.6e-05
74,00000001001010,4.979333237651654e-05,4.2e-05
75,00000001001011,0.00013801600331499696,7.8e-05
76,00000001001100,5.532923560665415e-06,3.8e-05
77,00000001001101,5.2502990419007935e-05,7.2e-05
78,00000001001110,1.881272596136604e-05,5e-05
79,00000001001111,2.322943288999517e-05,5.8e-05
80,00000001010000,4.7460878477819374e-05,4.2e-05
81,00000001010001,3.2057482484281097e-06,4e-05
82,00000001010010,4.74936972142494e-05,7.4e-05
83,00000001010011,2.4450763366944134e-05,5e-05
84,00000001010100,6.627781036253045e-05,6.4e-05
85,00000001010101,7.3195514343356e-05,6.6e-05
86,00000001010110,7.474244587061956e-05,5.2e-05
87,00000001010111,1.128514024408545e-05,4.4e-05
88,00000001011000,9.93507026045379e-05,7.2e-05
89,00000001011001,0.00012591924659790228,9.4e-05
90,00000001011010,0.0001628633290367912,0.000108
91,00000001011011,2.777308819739894e-05,5.2e-05
92,00000001011100,2.0583277424349433e-05,4.4e-05
93,00000001011101,8.287259629188072e-05,7.8e-05
94,00000001011110,7.729024228255974e-05,6e-05
95,00000001011111,1.9888201862654937e-06,2.8e-05
96,00000001100000,0.00010072359454424465,4.2e-05
97,00000001100001,7.3090914856054434e-06,4e-05
98,00000001100010,8.590176634590617e-05,6.8e-05
99,00000001100011,6.170810607219852e-05,4.8e-05
100,00000001100100,2.6826114909398525e-05,4.8e-05
101,00000001100101,1.4261263283138175e-05,3.6e-05
102,00000001100110,0.00010257883665357997,7.6e-05
103,00000001100111,3.767475565519711e-05,6.4e-05
104,00000001101000,3.1249068686847014e-05,6.6e-05
105,00000001101001,6.751203104889521e-05,5.2e-05
106,00000001101010,1.225454194812172e-06,4.6e-05
107,00000001101011,1.470729227169269e-05,4e-05
108,00000001101100,0.0001567219810405589,0.000104
109,00000001101101,0.00015014987578429234,9e-05
110,00000001101110,5.8576425130903445e-05,6.8e-05
111,00000001101111,3.918898349553351e-05,4.8e-05
112,00000001110000,7.162255139902328e-05,5.6e-05
113,00000001110001,0.00011179223364438749,7.6e-05
114,00000001110010,7.112819099683944e-05,6.8e-05
115,00000001110011,1.5590088250064193e-05,3.2e-05
116,00000001110100,6.154316206098539e-05,6.8e-05
117,00000001110101,1.1546872490813775e-05,3.6e-05
118,00000001110110,6.0304587452038224e-05,6.2e-05
119,00000001110111,0.00019578573160988226,0.000112
120,00000001111000,1.704864633658871e-05,3.6e-05
121,00000001111001,8.873704942043433e-05,6e-05
122,00000001111010,8.680646277820101e-05,4.4e-05
123,00000001111011,0.00015610200640105038,8.2e-05
124,00000001111100,0.00010332065705237616,8e-05
125,00000001111101,2.6480146089288796e-05,4.4e-05
126,00000001111110,2.865008461345353e-05,4.8e-05
127,00000001111111,0.00026960354657927315,0.000106
128,00000010000000,2.7015464266771228e-05,6e-05
129,00000010000001,0.00013819260412381432,0.0001
130,00000010000010,6.392529186404856e-06,4.4e-05
131,00000010000011,0.00010581531961070768,5.8e-05
132,00000010000100,1.55287705758118e-05,3.8e-05
133,00000010000101,2.8341463815817413e-05,5e-05
134,00000010000110,6.321733715504725e-05,5e-05
135,00000010000111,0.000198516115734851,0.000126
136,00000010001000,2.6712638099621425e-05,3.8e-05
137,00000010001001,9.106946133539537e-05,6.8e-05
138,00000010001010,0.0002656375520143276,0.00013
139,00000010001011,2.8876932645682467e-05,5.4e-05
140,00000010001100,4.294641169475999e-05,5.6e-05
141,00000010001101,4.7309699382174546e-05,3.4e-05
142,00000010001110,4.42464057517006e-05,5.4e-05
143,00000010001111,3.6074099511301814e-05,5.6e-05
144,00000010010000,2.0021224646275534e-05,4.4e-05
145,00000010010001,5.5361548876384075e-05,7.6e-05
146,00000010010010,6.241385534518201e-05,5.8e-05
147,00000010010011,2.2823521992759874e-05,4.6e-05
148,00000010010100,9.545408638585798e-05,8e-05
149,00000010010101,4.610799570385801e-05,3.4e-05
150,00000010010110,1.644055413358674e-06,4.2e-05
151,00000010010111,6.079717028320082e-05,6.2e-05
152,00000010011000,5.699065890729496e-07,4.6e-05
153,00000010011001,5.494453420899611e-07,5.2e-05
154,00000010011010,7.783706596129278e-05,6.2e-05
155,00000010011011,1.763174848639692e-05,4.4e-05
156,00000010011100,9.88635968665437e-05,7.8e-05
157,00000010011101,1.4203027775892439e-05,4.6e-05
158,00000010011110,1.9698014639324063e-06,4e-05
159,00000010011111,8.258741883152602e-05,4.8e-05
160,00000010100000,0.0001559802914009583,0.000102
161,00000010100001,3.941968012771244e-05,6e-05
162,00000010100010,7.264473683147481e-05,7e-05
163,00000010100011,0.00010275300761428457,6.2e-05
164,00000010100100,2.6903424420372358e-05,3.8e-05
165,00000010100101,5.272636005801185e-05,5.4e-05
166,00000010100110,3.8878324235966673e-07,5e-05
167,00000010100111,1.2848181333381726e-05,3.8e-05
168,00000010101000,0.0001588393831616728,7.8e-05
169,00000010101001,2.8188801170024706e-05,5e-05
170,00000010101010,1.055767050795379e-05,4.8e-05
171,00000010101011,2.4295508766249667e-05,4.4e-05
172,00000010101100,0.00022045940121068696,0.000126
173,00000010101101,1.385461509633885e-05,4.8e-05
174,00000010101110,1.2376155968133368e-05,3.6e-05
175,00000010101111,5.8586282500942884e-05,7.8e-05
176,00000010110000,4.2520441730607434e-05,6e-05
177,00000010110001,2.1978874913280766e-05,5.4e-05
178,00000010110010,0.0001352241557969485,0.000102
179,00000010110011,0.00016680302133020186,8.4e-05
180,00000010110100,1.6395668080451096e-07,3.4e-05
181,00000010110101,9.65716481724488e-05,5e-05
182,00000010110110,4.959895259339265e-05,6.8e-05
183,00000010110111,8.615319791642359e-05,7.2e-05
184,00000010111000,6.06670423211998e-05,5.6e-05
185,00000010111001,0.00013146434437514228,0.000104
186,00000010111010,2.27934796517856e-05,4.6e-05
187,00000010111011,2.0872134216605116e-06,5.2e-05
188,00000010111100,1.4406417394883927e-05,4.2e-05
189,00000010111101,3.596964977759013e-05,6e-05
190,00000010111110,0.00011869707379225344,7.2e-05
191,00000010111111,9.849140788029183e-05,6e-05
192,00000011000000,3.0869417754121566e-06,5e-05
193,00000011000001,1.6246748504711462e-05,4.2e-05
194,00000011000010,2.3749615757597518e-05,5.4e-05
195,00000011000011,1.4260937710703022e-05,4.2e-05
196,00000011000100,5.836801983119215e-06,4.8e-05
197,00000011000101,8.04248188526791e-06,4e-05
198,00000011000110,4.81306829821388e-05,4.2e-05
199,00000011000111,2.4843085410174385e-05,7.2e-05
200,00000011001000,8.788854860879088e-05,5.8e-05
201,00000011001001,1.8335129533358687e-06,5.6e-05
202,00000011001010,9.160564159741647e-05,7.8e-05
203,00000011001011,1.1260680342950216e-05,3.6e-05
204,00000011001100,6.202374309428848e-06,4.4e-05
205,00000011001101,6.529774598574758e-05,6.8e-05
206,00000011001110,7.080538551784535e-05,6.8e-05
207,00000011001111,0.00012458276096095143,8.8e-05
208,00000011010000,5.3640325695843906e-05,5.6e-05
209,00000011010001,4.011468116312104e-06,4.2e-05
210,00000011010010,1.7796765994118e-05,4.8e-05
211,00000011010011,3.224080560753292e-05,5e-05
212,00000011010100,1.3978090710014326e-05,6.4e-05
213,00000011010101,4.0361310810841076e-05,5.6e-05
214,00000011010110,0.0001927518187735871,8.6e-05
215,00000011010111,8.951867667547399e-05,6e-05
216,00000011011000,1.0275055573719523e-05,6e-05
217,00000011011001,4.66639046435089e-05,6e-05
218,00000011011010,2.9851426657133122e-05,3.8e-05
219,00000011011011,1.9811953608755143e-05,5.4e-05
220,00000011011100,0.00010746347758042632,9.4e-05
221,00000011011101,0.00010403014386380728,9.2e-05
222,00000011011110,0.00026107055914024313,0.000126
223,00000011011111,8.029948353880707e-07,5.2e-05
224,00000011100000,1.993624548796021e-05,7.2e-05
225,00000011100001,5.45846403066599e-05,4.8e-05
226,00000011100010,1.5656603117366684e-05,4.2e-05
