,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,00000000000000,3.0656857371325674e-06,4.6e-05,0.000144
1,00000000000001,6.385325742234757e-05,6.8e-05,0.000124
2,00000000000010,0.00027635582823270263,0.00012,0.000194
3,00000000000011,7.568126698081487e-05,6.6e-05,0.000138
4,00000000000100,5.890596123202282e-05,6.2e-05,9e-05
5,00000000000101,4.8002216116312636e-05,7e-05,9e-05
6,00000000000110,6.466189717528449e-05,7.4e-05,0.000114
7,00000000000111,0.00013506231070898735,8.4e-05,0.000108
8,00000000001000,5.05177970727553e-06,5.6e-05,8.6e-05
9,00000000001001,0.00012047368038452155,7.8e-05,0.000122
10,00000000001010,7.491874739615563e-05,9.6e-05,0.000122
11,00000000001011,0.00010362193799233669,5.6e-05,0.000118
12,00000000001100,7.933412159199928e-07,2.6e-05,7.6e-05
13,00000000001101,0.0001265485889521054,7.2e-05,9.6e-05
14,00000000001110,2.7273730362029242e-05,4.6e-05,8e-05
15,00000000001111,5.070916417819083e-05,5e-05,6.4e-05
16,00000000010000,0.0001505925485008252,8.4e-05,0.000154
17,00000000010001,0.00020290317921517305,0.000104,0.000188
18,00000000010010,0.00011811199241645797,8.6e-05,0.000166
19,00000000010011,0.0001611165941905519,7.8e-05,0.000152
20,00000000010100,1.3790582778003773e-06,5.4e-05,8.2e-05
21,00000000010101,0.00030257356320813366,0.000148,0.00017
22,00000000010110,5.111441289269755e-05,6.4e-05,8.8e-05
23,00000000010111,2.6054696820161768e-05,5.4e-05,7.8e-05
24,00000000011000,0.00010708970772293678,8e-05,0.00014
25,00000000011001,2.2614123647747373e-05,5.4e-05,8.8e-05
26,00000000011010,4.0417739015787486e-05,6.2e-05,0.000106
27,00000000011011,9.992910596717377e-06,5.4e-05,9e-05
28,00000000011100,1.408748268437269e-05,3.2e-05,5.6e-05
29,00000000011101,7.235309540055329e-05,4.6e-05,0.000108
30,00000000011110,1.785879186110103e-06,6.8e-05,6.8e-05
31,00000000011111,4.3227748208495246e-05,5.6e-05,8.2e-05
32,00000000100000,8.03743369678275e-05,7.6e-05,0.000148
33,00000000100001,7.013519077142312e-05,9.2e-05,0.00011
34,00000000100010,5.188333532161149e-06,3e-05,8.2e-05
35,00000000100011,1.4822893035230327e-05,4e-05,7.8e-05
36,00000000100100,2.001995696896418e-05,4e-05,6.2e-05
