,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,00000000000000,9.582783562568352e-05,4.6e-05,0.000128
1,00000000000001,1.7195155100102182e-05,5.2e-05,9.2e-05
2,00000000000010,2.3083813460633755e-05,2.8e-05,9.6e-05
3,00000000000011,4.3787530402930865e-05,5e-05,0.000128
4,00000000000100,1.578794703047589e-05,4e-05,7.4e-05
5,00000000000101,1.0056065318244462e-05,4.8e-05,5.6e-05
6,00000000000110,1.6411147541080864e-05,5.8e-05,8.6e-05
7,00000000000111,6.43005673411266e-05,6.2e-05,0.000108
8,00000000001000,8.953330888316661e-05,9.4e-05,0.000152
9,00000000001001,2.2717831950562087e-05,4.6e-05,0.00012
10,00000000001010,7.795485709601125e-05,6.4e-05,8.2e-05
11,00000000001011,3.293024279840507e-05,5.4e-05,0.0001
12,00000000001100,8.669750824593019e-05,8e-05,0.000106
13,00000000001101,3.8946113571895394e-05,6.4e-05,8.6e-05
14,00000000001110,4.193611318695954e-06,5e-05,9.4e-05
15,00000000001111,3.713105097806386e-05,5e-05,6e-05
16,00000000010000,9.256953756687758e-05,9.4e-05,0.000134
17,00000000010001,1.3471701676469197e-05,4.6e-05,7e-05
18,00000000010010,4.3216897189061584e-05,4.6e-05,0.000106
19,00000000010011,1.4014670136607759e-05,6.8e-05,0.000118
20,00000000010100,3.92139055204958e-05,6e-05,7.6e-05
21,00000000010101,3.7570362423034896e-05,5.8e-05,0.000104
22,00000000010110,2.0282945768444277e-05,3.2e-05,9.2e-05
23,00000000010111,0.0001955875100870202,9.6e-05,9.8e-05
24,00000000011000,0.00010030263832926839,5.8e-05,0.000138
25,00000000011001,1.476117382077933e-05,4e-05,9.4e-05
26,00000000011010,3.771991678130873e-05,5.2e-05,0.0001
27,00000000011011,0.0001741189472930408,0.000102,0.00015
28,00000000011100,6.946109092548102e-05,4.8e-05,0.00011
29,00000000011101,3.8152028090170594e-05,4.6e-05,9.6e-05
30,00000000011110,0.0001016261633007137,5.8e-05,0.000104
31,00000000011111,8.042408778864017e-06,3.8e-05,6.6e-05
32,00000000100000,8.74630262003052e-05,5e-05,9.4e-05
33,00000000100001,4.6009935048513904e-05,6e-05,0.000102
34,00000000100010,3.290286251482172e-05,5.4e-05,8e-05
35,00000000100011,1.612462356758649e-05,4.2e-05,8e-05
36,00000000100100,3.937552570697773e-05,5e-05,8.2e-05
37,00000000100101,5.479990350422706e-05,5.2e-05,5.8e-05
38,00000000100110,0.0001370630424116603,8.6e-05,0.000122
39,00000000100111,7.143892725829229e-05,8.8e-05,8e-05
40,00000000101000,0.00016113353559360928,0.000122,0.000122
41,00000000101001,5.2686852069123934e-05,4.8e-05,9.8e-05
42,00000000101010,0.0001214420967400418,7e-05,0.000134
43,00000000101011,0.00015303158372215176,8.4e-05,0.000138
44,00000000101100,6.032633550126057e-05,5.8e-05,8e-05
45,00000000101101,3.681514596681616e-05,5.6e-05,7.4e-05
46,00000000101110,3.959916659636448e-06,4.6e-05,4.2e-05
47,00000000101111,3.7510022877841316e-05,5.2e-05,5.8e-05
48,00000000110000,0.00012959876276740702,8.2e-05,0.000122
49,00000000110001,9.249371737667884e-05,6.2e-05,0.00012
50,00000000110010,6.0642031005877126e-05,6.8e-05,0.00013
