,bitstring,ideal_prob,depolarize_single_0.0016_prob
0,00000000000000,6.811192537097745e-05,6.6e-05
1,00000000000001,2.7770174465716715e-05,5.8e-05
2,00000000000010,6.48100806737566e-05,5.8e-05
3,00000000000011,5.92644899939429e-05,5.2e-05
4,00000000000100,7.358002248202346e-05,7e-05
5,00000000000101,1.3690268597579883e-05,5.6e-05
6,00000000000110,6.669281764162476e-06,4.4e-05
7,00000000000111,1.2279912892679014e-05,3.8e-05
8,00000000001000,0.0001838338301549201,7e-05
9,00000000001001,3.134332029288469e-05,3.8e-05
10,00000000001010,1.4134287233282801e-06,5e-05
11,00000000001011,1.530813164733579e-05,4.4e-05
12,00000000001100,2.199877758646842e-05,4.8e-05
13,00000000001101,6.965497126750923e-06,2.4e-05
14,00000000001110,1.2985087052846267e-05,5e-05
15,00000000001111,1.1366580164977192e-05,3.8e-05
16,00000000010000,1.2103744244658868e-05,2.8e-05
17,00000000010001,7.621038212849572e-05,6.2e-05
18,00000000010010,4.257957312310624e-05,4.6e-05
19,00000000010011,7.343447308541064e-06,4.4e-05
20,00000000010100,2.7824053628213564e-06,5.6e-05
21,00000000010101,5.5207601210600986e-05,6.2e-05
22,00000000010110,0.00015493164952658787,6.4e-05
23,00000000010111,4.751437610716231e-05,6.6e-05
24,00000000011000,7.325169173793796e-05,6.2e-05
25,00000000011001,9.44168011310724e-05,5.8e-05
26,00000000011010,0.00010254247629950389,9.2e-05
27,00000000011011,3.500660475700136e-05,6.2e-05
28,00000000011100,3.65113545830389e-06,3e-05
29,00000000011101,5.7632919102417444e-05,6.2e-05
30,00000000011110,2.495075103978597e-05,4.2e-05
31,00000000011111,5.8149886911208465e-05,6.2e-05
32,00000000100000,1.2491511162077869e-06,6.4e-05
33,00000000100001,5.692761945142563e-05,6.4e-05
34,00000000100010,0.00010651269317249289,7.2e-05
35,00000000100011,0.0001920099535017953,8.4e-05
36,00000000100100,0.00010500229932329974,6.6e-05
37,00000000100101,5.494822962548721e-05,6e-05
38,00000000100110,3.182443467481062e-05,4e-05
39,00000000100111,6.827611608792326e-07,4.2e-05
40,00000000101000,6.609637733387562e-05,5.2e-05
41,00000000101001,5.856599577781663e-05,5.6e-05
42,00000000101010,9.069955549302934e-05,7e-05
43,00000000101011,3.314731899083573e-06,3.8e-05
44,00000000101100,1.6602376241475246e-05,3.6e-05
45,00000000101101,8.088141579404614e-05,5.4e-05
46,00000000101110,0.0002005250763462184,0.000112
47,00000000101111,5.017040151645393e-05,6.6e-05
48,00000000110000,4.859577669228955e-05,6.6e-05
49,00000000110001,1.6574401123554854e-05,5.8e-05
