,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,00000000000000,1.5105742404844268e-05,4.2e-05,7.2e-05
1,00000000000001,1.1390653548009892e-05,3.6e-05,9.8e-05
2,00000000000010,0.00010963862534247936,6.4e-05,0.000156
3,00000000000011,4.634001520887823e-05,5.8e-05,9.6e-05
4,00000000000100,3.76996977556434e-05,5.8e-05,9.2e-05
5,00000000000101,5.598392124719454e-06,3.6e-05,8.6e-05
6,00000000000110,8.845510329628757e-05,6.4e-05,0.000128
7,00000000000111,1.9359820075671926e-05,5.8e-05,9.8e-05
8,00000000001000,0.00013662414474643444,7.8e-05,0.000174
9,00000000001001,1.2534293757667387e-05,4.8e-05,9.6e-05
10,00000000001010,0.00010630339985028173,8.2e-05,9.6e-05
11,00000000001011,4.812685872981033e-05,5.2e-05,0.000122
12,00000000001100,3.324696459645434e-05,4.4e-05,8.2e-05
13,00000000001101,9.399317135541908e-05,7e-05,0.000128
14,00000000001110,0.00021752301643015022,0.000116,0.000136
15,00000000001111,1.9030020161074137e-05,6.8e-05,6.8e-05
16,00000000010000,1.2749254262532003e-05,3.6e-05,9e-05
17,00000000010001,0.00011252796409111373,7e-05,0.000144
18,00000000010010,0.00022453741786429402,8.2e-05,0.000164
19,00000000010011,7.916556749705276e-05,8e-05,9.6e-05
20,00000000010100,0.00011140913772463438,7e-05,0.000122
21,00000000010101,3.863139901001636e-05,6.2e-05,6.8e-05
22,00000000010110,4.724572554918064e-06,5.4e-05,6.2e-05
23,00000000010111,2.2141339951801664e-05,4.4e-05,7.4e-05
24,00000000011000,5.683405494879823e-05,4.6e-05,8.6e-05
25,00000000011001,3.4285917504969716e-06,2.8e-05,0.000102
26,00000000011010,3.2655881128660586e-05,4.2e-05,9.2e-05
27,00000000011011,0.0001272637767266081,6.6e-05,0.000124
28,00000000011100,3.060051272431656e-06,5.4e-05,5.6e-05
29,00000000011101,1.4082922581907746e-05,6e-05,9.2e-05
30,00000000011110,1.5325335485185255e-06,4.4e-05,8.4e-05
31,00000000011111,3.4173881437951985e-05,5.8e-05,5.6e-05
32,00000000100000,1.927589261386928e-05,7e-05,8.2e-05
33,00000000100001,2.1696407379484713e-05,4.6e-05,0.000108
34,00000000100010,7.826903096313241e-05,6e-05,0.000132
35,00000000100011,9.782159000916662e-05,7.6e-05,0.0001
36,00000000100100,3.884156682745054e-07,4.6e-05,8.2e-05
37,00000000100101,2.6608453652236307e-05,6e-05,7.2e-05
38,00000000100110,0.00017031334571992096,9.6e-05,0.000122
39,00000000100111,7.892554433708969e-05,8.4e-05,9e-05
40,00000000101000,4.228007358187141e-05,4.6e-05,9e-05
41,00000000101001,6.226463514170737e-05,6.4e-05,0.000116
42,00000000101010,1.4130576530186036e-05,4.2e-05,5.2e-05
43,00000000101011,6.588763523234924e-06,5.4e-05,8e-05
44,00000000101100,0.00010318355568659824,6e-05,6.2e-05
45,00000000101101,2.0579315163967007e-05,3e-05,5e-05
46,00000000101110,4.939660307350556e-06,4.2e-05,8e-05
47,00000000101111,0.0001888604155814252,0.000108,0.000132
48,00000000110000,6.767329602955944e-05,8e-05,8.2e-05
49,00000000110001,0.0001900360687063491,6.4e-05,0.000128
50,00000000110010,7.985069004246101e-05,4.6e-05,0.00011
51,00000000110011,9.072484611243068e-05,5e-05,0.00012
52,00000000110100,3.779982382276112e-05,4.8e-05,7.6e-05
53,00000000110101,1.4724118997245644e-05,4.2e-05,7e-05
