Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,132.741508093252,32.75124567786089,5.260494640260592,-0.3398345949354833,0.02300000000000002,0.03280000000000005,0.0132,5560.888888888889,0.0003116681721606964,0.0003116681721606964,0.0003116681721606964,0_1:0.00787854078089184,0_1:248.88888888888889
1,115.9068092357623,80.15617824611728,5.170452127265268,-0.3405834792685346,0.024799999999999933,0.0352,0.0128,5560.888888888889,0.00025322853896574734,0.00025322853896574734,0.00025322853896574734,1_3:0.009795774129972817; 1_2:0.007984052324365387; 1_0:0.00787854078089184,1_3:270.22222222222223; 1_2:426.66666666666663; 1_0:284.44444444444446
2,116.94148786333183,133.39339777941134,5.27432093608555,-0.3389036888077824,0.03289999999999993,0.05359999999999998,0.0122,5560.888888888889,0.0003024503485447712,0.0003024503485447712,0.0003024503485447712,2_1:0.007984052324365387,2_1:391.1111111111111
3,137.18272278583774,78.04746125224457,5.026678650360484,-0.34253037607049963,0.027800000000000047,0.0448,0.010800000000000032,5560.888888888889,0.00043910365923449754,0.00043910365923449754,0.00043910365923449754,3_5:0.014520839693090676; 3_1:0.009795774129972817,3_5:277.3333333333333; 3_1:305.77777777777777
4,130.22871163356157,83.85619092666377,5.177168462871632,-0.34059039974918304,0.02190000000000003,0.033399999999999985,0.0104,5560.888888888889,0.000752681936833213,0.000752681936833213,0.000752681936833213,4_5:0.009255560141260694,4_5:312.88888888888886
5,151.05014674726695,20.39461509318748,5.292506664281672,-0.34053232043511467,0.02980000000000005,0.0378,0.02180000000000004,5560.888888888889,0.0003777149240020625,0.0003777149240020625,0.0003777149240020625,5_6:0.006456162910762536; 5_4:0.009255560141260694; 5_3:0.014520839693090676,5_6:341.3333333333333; 5_4:277.3333333333333; 5_3:241.77777777777777
6,126.1364239714897,102.58172858698754,5.128685057330358,-0.3404356760163406,0.0233000000000001,0.03600000000000003,0.0106,5560.888888888889,0.00019170318323621113,0.00019170318323621113,0.00019170318323621113,6_5:0.006456162910762536,6_5:305.77777777777777
