,bitstring,ideal_real_amp,ideal_imag_amp,ideal_prob,google_noisy_prob,depolarize_single_0.0016_prob
3742,111010011110,-0.00845761451918909,0.01605163223447829,0.00032918614074614063,0.000278,0.000298
3743,111010011111,0.0018844745484252858,0.0138050225143128,0.00019412989094434602,0.00019,0.00021
3744,111010100000,-0.003049502738656157,-0.009183782775498514,9.364133302061459e-05,0.000186,0.000214
3745,111010100001,-0.014518181386537824,-0.0020158661576775575,0.00021484130713808302,0.00026,0.000224
3746,111010100010,-0.01902139594125321,0.005111558145964901,0.0003879415302335043,0.00024,0.000318
3747,111010100011,-0.014562065021810702,0.009826382802862943,0.0003086115366878433,0.0004,0.000286
3748,111010100100,0.015830648479801167,-0.005362145350329358,0.00027936203404908973,0.000314,0.000262
3749,111010100101,0.01169329032790431,0.0008653860976444404,0.00013748193179065674,0.000154,0.000198
3750,111010100110,-0.016740280392446256,-0.014960568826518531,0.0005040556072307186,0.000424,0.000342
3751,111010100111,0.0221292518835001,-0.015608378363630273,0.0007333252640656342,0.000314,0.000408
3752,111010101000,0.0023952644308595098,0.0011545934478754947,7.0703777236177545e-06,0.000192,0.00021
3753,111010101001,0.005306638992611971,-0.010386050890586355,0.00013603047049975942,0.000208,0.0002
3754,111010101010,0.0015578261510403556,-0.030669085821066498,0.0009430196474168074,0.000374,0.000512
3755,111010101011,0.01310195201659945,0.00823296444677691,0.00023944285022716702,0.000148,0.000204
3756,111010101100,0.021505017728329405,-0.008319720460425551,0.0005316835360353856,0.000226,0.000344
3757,111010101101,0.012460915333582748,0.0015527663858821029,0.000157685494399843,0.000218,0.000206
3758,111010101110,0.0033877001497386343,-0.0012688133936799863,1.3086399732520889e-05,0.000186,0.00017
3759,111010101111,-0.006026818281279057,-0.0004925454963450747,3.656513966152927e-05,0.000126,0.00016
3760,111010110000,0.0023349337159730005,-0.0007154435998180551,5.963775002508102e-06,0.000188,0.000202
3761,111010110001,-0.002577991257071667,-0.020910893365396116,0.00044391150026050523,0.000388,0.00027
3762,111010110010,0.011704892702249552,0.009128077584741682,0.00022032631356423834,0.000196,0.000226
3763,111010110011,0.003090892550272058,-0.009411944754905699,9.81383208267242e-05,0.000192,0.000182
3764,111010110100,-0.008230361171590823,-0.007999153719587433,0.00013172530524441933,0.000166,0.000224
3765,111010110101,0.0005461601617563236,-0.004363312643343015,1.9336788145846705e-05,0.000112,0.000142
3766,111010110110,-0.018414316832418055,0.0037907103566497662,0.0003534565494126867,0.00025,0.000262
3767,111010110111,-0.005728438241144735,0.00835977402573972,0.00010270082644404187,0.000138,0.000202
3768,111010111000,0.009841017140450797,-0.0050750082705541474,0.0001226013273048394,0.000196,0.000214
3769,111010111001,-0.024170099140274938,-0.00819593172351206,0.0006513669892671906,0.000274,0.000384
3770,111010111010,-0.009195419625556573,0.01157684599529761,0.00021857910528890931,0.00017,0.00026
3771,111010111011,-0.022257451850645663,0.018153988385578315,0.0008249614571875224,0.00034,0.000426
3772,111010111100,-0.006805357085241081,0.012188027424752855,0.0001948608975641687,0.0003,0.00026
3773,111010111101,-0.004937729258351648,0.020709419865378664,0.00045326124138932237,0.00034,0.000346
3774,111010111110,0.009321196922114302,0.01912377787024333,0.0004526035920912417,0.000274,0.000322
3775,111010111111,0.0010013448378788647,0.0139455479262077,0.00019548099844650252,0.00023,0.000222
3776,111011000000,0.001267070229016014,0.015396835188498244,0.00023866800078703646,0.000192,0.00026
3777,111011000001,-0.0032838614368695448,0.009760900697166359,0.00010605892835650162,0.000178,0.000172
3778,111011000010,-0.0016707952124783718,-0.007528722744579686,5.9473222806792125e-05,0.000172,0.000168
3779,111011000011,-0.011423926978898465,-0.00992375357998906,0.00022898699273554989,0.000198,0.000278
3780,111011000100,-0.020673118593573715,-0.013250340546752224,0.0006029493569888692,0.000302,0.000354
3781,111011000101,0.017387976513463674,0.0005653531009811915,0.00030266135136155337,0.000386,0.000216
3782,111011000110,0.017082310306825277,0.0044299469764162176,0.0003114297556325283,0.000234,0.000262
3783,111011000111,0.016634183287487676,-1.2279133112911775e-05,0.0002766962044188443,0.00014,0.00027
3784,111011001000,0.005765297342748754,-0.006924190385999271,8.118306595187058e-05,0.000164,0.000188
3785,111011001001,0.0016127593550423788,0.009281828612967362,8.875333513777633e-05,0.000174,0.00017
3786,111011001010,0.02912064319803942,0.004954372077541003,0.0008725576629502375,0.00046,0.00045
3787,111011001011,0.0058669774176673545,-0.0030792042819246506,4.39029230292418e-05,0.00016,0.000194
3788,111011001100,-0.01189914831334031,0.020690074894963943,0.0005696689297420868,0.000372,0.000318
3789,111011001101,0.026232541225441556,0.01218373529557338,0.0008365896248970913,0.000378,0.000522
3790,111011001110,-4.674332626914725e-05,0.009772499890829777,9.55039390548187e-05,0.00014,0.000204
3791,111011001111,-0.0034351609790872362,0.012737272231684955,0.0001740384348562962,0.000114,0.00022
3792,111011010000,0.007105758974106004,0.00949586870955955,0.00014066333314728015,0.000154,0.00018
3793,111011010001,-0.0035112387246964295,0.009410534605258022,0.00010088695893856657,0.00017,0.00018
