,bitstring,ideal_prob,depolarize_single_0.0016_prob
0,000000000000,0.0001710221370215728,0.000194
1,000000000001,1.0189073455856744e-05,0.000194
2,000000000010,0.00019772376597935443,0.000218
3,000000000011,2.7404410873294745e-05,0.000164
4,000000000100,9.823950101092011e-05,0.000212
5,000000000101,4.3932514507821966e-05,0.000178
6,000000000110,1.1645444412502068e-05,0.000122
7,000000000111,9.251791128383861e-05,0.000194
8,000000001000,9.21754156096428e-05,0.000192
9,000000001001,9.201930157435098e-05,0.000162
10,000000001010,1.8535213862642945e-05,0.000142
11,000000001011,1.7299961047623726e-06,0.000166
12,000000001100,0.00034893844722751893,0.000282
13,000000001101,0.00042959767571015383,0.000268
14,000000001110,0.0001915817309004296,0.000232
15,000000001111,0.00036793286144164465,0.000266
16,000000010000,0.00011273640152662116,0.000224
17,000000010001,0.0004057291330922609,0.000358
18,000000010010,0.00024040110421058106,0.000286
19,000000010011,0.0007563129936825018,0.000386
20,000000010100,7.376522482491705e-05,0.000182
21,000000010101,3.983267074359524e-06,0.000176
22,000000010110,0.00039922474952122644,0.000286
23,000000010111,0.00015251843140452702,0.000198
24,000000011000,0.0003117021730053044,0.000256
25,000000011001,9.992440658654196e-05,0.000208
26,000000011010,0.00014902883143396911,0.000188
27,000000011011,0.0005508897214398518,0.000354
28,000000011100,8.62086242576212e-05,0.000172
29,000000011101,0.0006170351791728286,0.000346
30,000000011110,4.2262311852436496e-05,0.000142
31,000000011111,3.681196701900963e-05,0.00019
32,000000100000,6.106198865097706e-05,0.00016
33,000000100001,6.351801167299257e-05,0.000202
34,000000100010,0.0007727535543958095,0.000416
35,000000100011,0.0004186759337123256,0.00032
36,000000100100,5.6220517450565686e-05,0.000176
37,000000100101,0.0005239288553588481,0.000372
38,000000100110,0.00012914440300344017,0.000198
39,000000100111,0.0003971320850552683,0.00034
40,000000101000,0.00016484373790539062,0.000238
41,000000101001,0.00020950821528172868,0.000248
42,000000101010,0.0004376869851968749,0.000348
43,000000101011,0.0002520882859779084,0.000264
44,000000101100,0.000694071830047252,0.000412
45,000000101101,0.00028738586560467504,0.000232
46,000000101110,9.113931553244974e-06,0.000178
47,000000101111,8.544719858140739e-05,0.000236
48,000000110000,3.024723520092309e-06,0.000206
49,000000110001,0.0006557151289649841,0.000368
50,000000110010,1.56033177232803e-05,0.000126
51,000000110011,0.0008773880469156147,0.000476
52,000000110100,4.989508790733475e-06,0.000146
53,000000110101,2.4762932733217995e-05,0.000184
54,000000110110,9.314598282342836e-05,0.00021
55,000000110111,0.0003649770407414931,0.00033
56,000000111000,0.00027740000085051705,0.000256
57,000000111001,0.00015381156125680992,0.000214
58,000000111010,0.0002440471047123258,0.000252
59,000000111011,0.0004727236155313957,0.000336
60,000000111100,0.00012474242302739882,0.000182
61,000000111101,7.763592092959717e-06,0.00016
62,000000111110,2.967679689495873e-05,0.000154
63,000000111111,0.00021805260360844694,0.000248
64,000001000000,7.84980271976425e-05,0.000206
65,000001000001,0.0008130165496167804,0.000416
66,000001000010,0.00048042761431401097,0.000336
67,000001000011,0.00028482209192479157,0.000258
68,000001000100,5.187555293662952e-05,0.000206
69,000001000101,0.0004387152318400548,0.00031
70,000001000110,0.00012025315291755872,0.000228
71,000001000111,0.00023837134301087665,0.000264
72,000001001000,0.0006579998072638751,0.000432
73,000001001001,0.00020820692461423113,0.00022
74,000001001010,0.0005931684455956938,0.000396
75,000001001011,8.53119434910959e-05,0.00018
76,000001001100,3.4486606350804564e-06,0.000142
77,000001001101,0.0004819684694781784,0.000312
78,000001001110,0.0005112511044703308,0.000364
79,000001001111,0.00025357381480468606,0.000256
80,000001010000,0.0002221748784398289,0.000264
81,000001010001,0.0002192983715421576,0.00024
82,000001010010,0.00017453373896216754,0.000188
83,000001010011,0.0005251122376143596,0.000318
84,000001010100,3.17752541044981e-06,0.00017
85,000001010101,0.0002056254479709562,0.000212
86,000001010110,0.00010646355383618858,0.000198
87,000001010111,0.0004895336171427421,0.00031
88,000001011000,2.2531761920446082e-05,0.000138
89,000001011001,0.0008386335127298458,0.000464
90,000001011010,0.00021156309934823844,0.00023
91,000001011011,8.757308365571493e-05,0.000198
92,000001011100,5.233864146980463e-05,0.00018
93,000001011101,8.008098948730818e-05,0.000186
94,000001011110,0.0004302618636224759,0.000314
95,000001011111,0.0004513035335047548,0.00027
96,000001100000,0.0004851819788333053,0.000394
97,000001100001,0.00010587392852979806,0.000198
98,000001100010,0.0005177604115183441,0.000352
99,000001100011,0.00047876514161453507,0.000342
100,000001100100,0.0007309073697852296,0.000466
101,000001100101,0.0002646140356282244,0.000254
102,000001100110,0.00038416101151815535,0.000344
103,000001100111,0.00011411719859902888,0.000204
104,000001101000,9.05669708545645e-05,0.000162
105,000001101001,0.00017354263960967642,0.000246
106,000001101010,0.00010686629587107578,0.00015
107,000001101011,0.00021747975448950199,0.000214
108,000001101100,0.00022062856593098052,0.000244
109,000001101101,0.0002787428828526377,0.000266
110,000001101110,6.807896456413159e-05,0.000194
111,000001101111,0.00017688039959188427,0.000234
112,000001110000,0.0002860696309355949,0.000278
113,000001110001,3.066473244542693e-06,0.00016
114,000001110010,0.0001756828851547848,0.000228
115,000001110011,0.00017644433911241867,0.00022
116,000001110100,8.685745256608115e-05,0.000162
117,000001110101,4.6332872566171596e-05,0.000134
118,000001110110,2.9572356570578735e-05,0.000156
119,000001110111,0.0002263242433698733,0.000284
120,000001111000,6.907926021172293e-05,0.000192
121,000001111001,9.158623895821917e-05,0.000184
122,000001111010,0.0005575407273813076,0.000356
123,000001111011,6.557215938671452e-05,0.000162
124,000001111100,7.3581046917448936e-06,0.000152
125,000001111101,0.000367870896078239,0.000292
126,000001111110,0.00035768172911920603,0.00028
127,000001111111,0.0001921946296036813,0.000186
128,000010000000,0.000811521197744299,0.000456
129,000010000001,2.3579035348384676e-05,0.000168
130,000010000010,0.000452135124461985,0.00028
131,000010000011,0.0003370168524115578,0.000248
132,000010000100,0.0002804543217209715,0.000286
133,000010000101,3.5538337889999045e-05,0.000162
134,000010000110,6.0595330604090096e-05,0.00019
135,000010000111,8.354298356428412e-05,0.000188
136,000010001000,0.0003497865693535215,0.000276
137,000010001001,6.535662369669377e-05,0.000184
138,000010001010,0.00012541330285665837,0.000212
139,000010001011,0.00041900099738691003,0.000282
140,000010001100,0.0005559772002230179,0.000324
141,000010001101,0.0001616405000091456,0.00022
142,000010001110,0.00018754995560869733,0.00024
143,000010001111,0.00010008565824110851,0.000202
144,000010010000,4.457810900150895e-05,0.000182
145,000010010001,0.00014879290050765775,0.000224
146,000010010010,6.742430445357141e-05,0.000184
147,000010010011,5.409544832498199e-05,0.000192
148,000010010100,2.3485861983836508e-05,0.000138
149,000010010101,6.315604655773383e-05,0.000198
150,000010010110,1.8241281208205996e-05,0.000164
151,000010010111,6.573468287550235e-05,0.000146
152,000010011000,0.00031449383764745606,0.000242
153,000010011001,8.33665801523873e-05,0.000212
154,000010011010,0.00017210498195299997,0.00022
155,000010011011,0.0006278434095441626,0.00038
156,000010011100,0.0009290613109095995,0.0005
157,000010011101,0.00018556960034027165,0.000232
158,000010011110,5.648167645875999e-05,0.00022
159,000010011111,6.958869332957278e-05,0.000238
160,000010100000,2.5601793941464068e-06,0.00012
161,000010100001,1.6139958510313976e-05,0.000154
162,000010100010,0.0002243309273765719,0.000212
163,000010100011,0.00029156981417334434,0.00027
164,000010100100,0.0001781907901629539,0.000168
165,000010100101,6.720440724394366e-06,0.000152
166,000010100110,0.0005334199126682275,0.000346
167,000010100111,0.0002519034299276135,0.000214
168,000010101000,0.0005198741601337706,0.000328
169,000010101001,0.00016981242458898488,0.000206
170,000010101010,0.0002925104113766561,0.000266
171,000010101011,0.0003220394993265067,0.00027
172,000010101100,0.0001758410236038825,0.000192
173,000010101101,2.1621917344060765e-05,0.000124
174,000010101110,0.00017019791946869785,0.000274
175,000010101111,0.001166289152121948,0.000578
176,000010110000,0.00021266737085430014,0.00022
177,000010110001,0.0009257123911027179,0.000504
178,000010110010,0.00016703895006210716,0.000232
179,000010110011,0.0006164624010997568,0.000366
180,000010110100,0.00026225033576450903,0.00023
181,000010110101,0.001426861503367775,0.000648
182,000010110110,4.4677313476134705e-05,0.000172
183,000010110111,0.0006733439044734893,0.00039
184,000010111000,0.00024566793114955956,0.000274
185,000010111001,9.322764395017272e-05,0.000218
