,bitstring,ideal_prob,depolarize_single_0.0016_prob
0,000000000000,0.00044886416702701444,0.000304
1,000000000001,5.000704245438183e-05,0.000156
2,000000000010,2.4080142864986402e-05,0.000176
3,000000000011,0.0003879264301671166,0.000278
4,000000000100,0.00010704056910787677,0.000194
5,000000000101,7.037067213475224e-05,0.000182
6,000000000110,0.00018116467908290662,0.000236
7,000000000111,0.0002793473541772605,0.000236
8,000000001000,0.0001060950713878861,0.0002
9,000000001001,0.0002489797287637292,0.000198
10,000000001010,2.2924416860517784e-05,0.000146
11,000000001011,0.00018955864809480326,0.000208
12,000000001100,0.00012025850010597181,0.000166
13,000000001101,0.0003926061594415755,0.000258
14,000000001110,2.1970375082537425e-05,0.000166
15,000000001111,0.0006652939641062463,0.000488
16,000000010000,1.665499846177933e-05,0.00019
17,000000010001,1.9557541611665262e-05,0.000216
18,000000010010,0.00012904855524210405,0.000216
19,000000010011,3.41419985895911e-05,0.000208
20,000000010100,0.00013027805839420787,0.00021
21,000000010101,0.0005771284124788644,0.000374
22,000000010110,3.010814111878743e-05,0.00017
23,000000010111,0.00011752185769190861,0.00016
24,000000011000,7.210778320927781e-05,0.000148
25,000000011001,0.0001625722980085185,0.000194
26,000000011010,0.00014111135530397537,0.000174
27,000000011011,4.41945204270855e-05,0.000154
28,000000011100,5.6434424355750547e-05,0.00017
29,000000011101,7.59887582881198e-05,0.000204
30,000000011110,0.00028211552306981467,0.00029
31,000000011111,6.767270749157166e-05,0.000142
32,000000100000,0.0005566393148147227,0.000374
33,000000100001,1.989057947893141e-05,0.00015
34,000000100010,5.514894529824419e-05,0.000172
35,000000100011,0.00046433677644293434,0.000332
36,000000100100,1.0620004753673336e-05,0.00014
37,000000100101,0.00030693789229433946,0.00028
38,000000100110,4.747774840827739e-06,0.000138
39,000000100111,0.0002422296643458243,0.0002
40,000000101000,0.00013517398372504187,0.00018
41,000000101001,0.0001279240243192669,0.000202
42,000000101010,0.0002454721729207449,0.00025
43,000000101011,6.0005679860092647e-05,0.000164
44,000000101100,3.9755326716887e-05,0.000186
45,000000101101,8.41184178217666e-05,0.000182
46,000000101110,0.00023365690958248477,0.000244
47,000000101111,4.943502724548803e-05,0.000162
48,000000110000,0.0002291030141389856,0.000278
49,000000110001,0.00040997485616804045,0.000306
50,000000110010,0.0003385662858410067,0.000258
51,000000110011,0.0002137658319507225,0.000258
52,000000110100,9.380276212460071e-05,0.000158
53,000000110101,0.00024473530746855007,0.00026
54,000000110110,0.0003838081286893934,0.000296
55,000000110111,0.00024827539358907236,0.000248
56,000000111000,0.0002256091137800766,0.000256
57,000000111001,0.0004292924334725238,0.000314
58,000000111010,0.00016171423967379354,0.000188
59,000000111011,0.00020294634326228371,0.000194
60,000000111100,0.0002759192525884949,0.000252
61,000000111101,6.546178121416435e-05,0.000194
62,000000111110,0.00040213382407405405,0.000262
63,000000111111,8.373485855025505e-05,0.000206
64,000001000000,0.0005317538297003895,0.000334
65,000001000001,4.442794852764314e-05,0.000168
66,000001000010,5.2568304691099835e-06,0.000174
67,000001000011,4.495763141495797e-05,0.000164
68,000001000100,0.00011233165496488729,0.000192
69,000001000101,5.6286293523186947e-05,0.000174
70,000001000110,0.00024315297009850473,0.00024
71,000001000111,0.00031112539999199475,0.00027
72,000001001000,0.00020899458615102393,0.00024
73,000001001001,0.00010419416765474768,0.000202
74,000001001010,1.4552133356329867e-05,0.000144
75,000001001011,9.964024031314466e-05,0.00021
76,000001001100,4.39748139326301e-05,0.000184
77,000001001101,3.8893848759439544e-05,0.000138
78,000001001110,0.0008281723191953173,0.000482
79,000001001111,0.00032896314568410626,0.000276
