,bitstring,ideal_prob,depolarize_single_0.0016_prob
0,000000000000,8.921959460861888e-06,0.000172
1,000000000001,0.0005806685548880043,0.000376
2,000000000010,8.511363378951552e-05,0.000172
3,000000000011,0.000233634858892859,0.000222
4,000000000100,0.0007253055382758179,0.000402
5,000000000101,0.00039239621978699117,0.000288
6,000000000110,9.843127070795576e-05,0.0002
7,000000000111,3.262225976629435e-05,0.0002
8,000000001000,7.803528497528994e-05,0.000234
9,000000001001,0.00031080366373872247,0.000254
10,000000001010,0.0005655909251250405,0.000374
11,000000001011,0.0001496911553862981,0.000198
12,000000001100,9.781162079511833e-05,0.00018
13,000000001101,0.00042401258077079173,0.00032
14,000000001110,0.0005883400688689658,0.000362
15,000000001111,0.00010599625401995337,0.000212
16,000000010000,0.0002600834193621529,0.000224
17,000000010001,0.00013646948505159954,0.000204
18,000000010010,4.522251252392553e-06,0.000212
19,000000010011,0.0004095710823716184,0.00031
20,000000010100,0.00010575766683419559,0.000162
21,000000010101,0.00021062752144902528,0.000216
22,000000010110,0.0008121292006210148,0.000424
23,000000010111,2.168865823295614e-06,0.000172
24,000000011000,0.0001028892985409423,0.000198
25,000000011001,6.903441157920358e-05,0.000162
26,000000011010,8.77345791588301e-05,0.000178
27,000000011011,7.130733515164645e-05,0.000182
28,000000011100,2.352952344492322e-05,0.00016
29,000000011101,2.729407680971128e-05,0.000128
30,000000011110,1.1307530507427096e-06,0.00019
31,000000011111,7.322288419575329e-05,0.000142
32,000000100000,0.00040421887055476404,0.000286
33,000000100001,7.42685590265944e-05,0.000182
34,000000100010,0.00014805018829657974,0.00021
35,000000100011,0.00017104184339751337,0.000232
36,000000100100,0.00034756336736728086,0.000292
37,000000100101,0.0001592297867941157,0.000214
38,000000100110,0.0006107223815359186,0.000318
39,000000100111,0.0003319218383084814,0.000236
40,000000101000,0.0006361826063620228,0.000392
41,000000101001,0.0002147415998401675,0.000202
42,000000101010,0.00035724531187688403,0.000298
43,000000101011,9.322629686071707e-05,0.000166
44,000000101100,8.30291658109311e-06,0.000148
45,000000101101,0.0007326936390356433,0.000404
46,000000101110,5.0926979459417685e-05,0.000172
47,000000101111,0.0004157887997698162,0.00027
48,000000110000,0.0005936120052498076,0.000346
49,000000110001,0.0004885637930729836,0.000314
50,000000110010,3.3542340303462986e-05,0.000196
51,000000110011,0.0001448198312842861,0.000164
52,000000110100,0.00021893231719854187,0.000224
53,000000110101,2.2053581277361416e-05,0.000144
54,000000110110,2.7343786466965048e-05,0.00016
55,000000110111,0.00010237186579041981,0.000172
56,000000111000,9.423116516380729e-05,0.000162
57,000000111001,3.292957083010992e-05,0.000124
58,000000111010,0.0003844975663752395,0.000308
59,000000111011,9.758975753755045e-05,0.000212
60,000000111100,0.0005344331325799797,0.000368
61,000000111101,0.00047927969416237384,0.000336
62,000000111110,2.7674015344374242e-05,0.000166
63,000000111111,0.00015342307049232023,0.000186
64,000001000000,0.00011091259099318042,0.000186
65,000001000001,0.0004065026854632493,0.0003
66,000001000010,5.5052977045978066e-05,0.00017
67,000001000011,8.528711799004658e-05,0.00022
68,000001000100,2.712751675645362e-06,0.000154
69,000001000101,1.1865446180102938e-05,0.000164
70,000001000110,0.0001936265256268332,0.000232
71,000001000111,0.00046417421626601386,0.00027
72,000001001000,0.00042440123334182837,0.000312
73,000001001001,3.286650921702242e-05,0.000152
74,000001001010,0.00042011539954286915,0.000336
75,000001001011,3.5890298955417534e-05,0.000186
76,000001001100,8.08126199567773e-05,0.000168
77,000001001101,0.00015914108401166472,0.0002
78,000001001110,0.0007107992782622461,0.000404
79,000001001111,3.624516139812424e-06,0.000158
80,000001010000,0.00030506384656737333,0.00024
81,000001010001,0.0003840147765895111,0.000334
82,000001010010,0.0009574998302923942,0.0005
83,000001010011,0.00016097582024083418,0.000232
84,000001010100,0.00010801126288223422,0.000166
85,000001010101,0.00023143265707853343,0.000238
86,000001010110,0.0002741203437240948,0.000246
87,000001010111,0.00012214644514357714,0.000224
88,000001011000,0.0005739504722271073,0.000316
89,000001011001,0.0002331035665513235,0.000244
90,000001011010,0.00031941463084450057,0.0003
91,000001011011,0.00033157743381168503,0.000276
92,000001011100,0.00010753192288059396,0.000218
93,000001011101,0.0005513055367428715,0.000356
94,000001011110,2.4775473371093896e-05,0.000154
95,000001011111,0.00023790326368473182,0.000224
96,000001100000,0.0001301718974518494,0.000224
97,000001100001,0.00015349584874270296,0.000218
98,000001100010,1.6923204592472494e-05,0.00014
99,000001100011,0.00020910293761166975,0.000216
100,000001100100,0.0002863904611871068,0.00024
101,000001100101,7.506371374178664e-05,0.000142
102,000001100110,0.00012374810661347916,0.0002
103,000001100111,0.00046137296531469443,0.000342
104,000001101000,0.0002540974579985606,0.000214
105,000001101001,3.450772369836436e-05,0.000146
106,000001101010,3.945908961549181e-05,0.000186
107,000001101011,3.471587235601922e-05,0.000156
108,000001101100,0.00022516126140085727,0.000204
109,000001101101,0.00012242437238199584,0.000194
110,000001101110,8.790800478277503e-05,0.0002
111,000001101111,5.0915376142412366e-05,0.000188
112,000001110000,0.0007140407401566252,0.00045
113,000001110001,0.0002927111301363968,0.000282
114,000001110010,0.00023011738623920474,0.000262
115,000001110011,3.095840436727672e-05,0.00016
116,000001110100,1.9952626009746317e-05,0.00016
117,000001110101,1.2453208922424954e-05,0.000148
118,000001110110,0.0002475447740616088,0.000244
119,000001110111,2.6400385319160393e-05,0.000138
120,000001111000,4.226076212217674e-05,0.000174
121,000001111001,0.00019461291491166383,0.000242
122,000001111010,0.0019046250769603182,0.00085
123,000001111011,3.3140365331360275e-05,0.000144
124,000001111100,7.898580343897348e-05,0.00018
125,000001111101,0.00024201453130352527,0.000226
126,000001111110,0.00021691867227654376,0.00022
127,000001111111,3.1238324550232936e-05,0.00014
128,000010000000,0.0003314967003992791,0.000306
129,000010000001,0.00033452916082114185,0.000304
130,000010000010,0.0005369147502577972,0.00032
131,000010000011,0.0004059041962932618,0.000294
132,000010000100,0.0001642161723492281,0.000246
133,000010000101,0.00021969351967784722,0.000252
134,000010000110,1.9166611750579067e-05,0.000186
135,000010000111,0.000211821666039102,0.00019
136,000010001000,0.0002505328575938903,0.000256
137,000010001001,6.504903650180349e-05,0.000182
138,000010001010,8.185514462890471e-05,0.000218
139,000010001011,0.00014297878516287491,0.000192
140,000010001100,0.0005936530548609541,0.000368
141,000010001101,0.00019202045627817407,0.000246
142,000010001110,0.00023851749685795305,0.000246
143,000010001111,0.0001675839206087963,0.000192
