,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,0000000000000000,1.835558187476096e-05,1.6e-05,2.8e-05
1,0000000000000001,2.1219640075698717e-06,1.6e-05,3.2e-05
2,0000000000000010,1.553733454294617e-05,1.6e-05,4.8e-05
3,0000000000000011,1.2879741110307683e-05,1.6e-05,2.2e-05
4,0000000000000100,1.9198561284449825e-05,1.4e-05,3e-05
5,0000000000000101,8.68148133000287e-06,2e-06,2.4e-05
6,0000000000000110,4.301686192698958e-06,1.2e-05,2.4e-05
7,0000000000000111,1.2168429244232168e-05,2e-05,3.6e-05
8,0000000000001000,3.568564632315088e-06,1.2e-05,3.4e-05
9,0000000000001001,5.714111245832903e-06,1e-05,2.4e-05
10,0000000000001010,3.2400214574098688e-06,1.2e-05,2.2e-05
11,0000000000001011,1.1352104520940082e-05,2.4e-05,2.4e-05
12,0000000000001100,9.297467904312603e-06,1.6e-05,2e-05
13,0000000000001101,2.0169739843601882e-05,2.6e-05,3.2e-05
14,0000000000001110,2.0359011827837012e-05,2.6e-05,4.2e-05
15,0000000000001111,4.476285347102027e-06,2e-06,2e-05
16,0000000000010000,8.699668220851545e-06,1.4e-05,3e-05
17,0000000000010001,5.600202395687858e-05,2.4e-05,3.2e-05
18,0000000000010010,2.2747573948452237e-06,1e-05,2.6e-05
19,0000000000010011,8.649336198076212e-07,6e-06,1.8e-05
20,0000000000010100,3.20992272819608e-06,1.6e-05,3.4e-05
21,0000000000010101,1.49121702665036e-06,1.2e-05,2.2e-05
22,0000000000010110,5.553700930977986e-05,3.6e-05,2.8e-05
23,0000000000010111,1.1904376201210276e-05,1.2e-05,3.4e-05
24,0000000000011000,1.865788480758788e-06,2e-05,2e-05
25,0000000000011001,3.6357830113641994e-05,1.8e-05,2.4e-05
26,0000000000011010,2.276741184636331e-06,1.2e-05,3.4e-05
27,0000000000011011,2.176696518944503e-06,1e-05,2.2e-05
28,0000000000011100,8.53212460380969e-07,8e-06,1.6e-05
29,0000000000011101,4.227696822966701e-06,1.2e-05,1.6e-05
30,0000000000011110,3.348160320450811e-05,1.8e-05,2.4e-05
31,0000000000011111,2.4259169604723497e-06,1.4e-05,1.8e-05
32,0000000000100000,3.7652740151329135e-06,1.2e-05,3.2e-05
33,0000000000100001,4.078362390357192e-07,1.2e-05,3e-05
34,0000000000100010,1.4803305541191866e-05,1.8e-05,2.2e-05
35,0000000000100011,8.594084472417154e-07,1e-05,3.4e-05
36,0000000000100100,3.467519232902131e-05,1.4e-05,3e-05
37,0000000000100101,9.739259709913615e-06,8e-06,3.2e-05
38,0000000000100110,9.307279675690312e-06,1.8e-05,2.6e-05
39,0000000000100111,1.114053882672201e-05,1e-05,2.2e-05
40,0000000000101000,2.3964299711090754e-06,1.2e-05,4e-05
41,0000000000101001,1.9731604029542573e-06,4e-06,1.8e-05
42,0000000000101010,2.505134472310101e-05,1.4e-05,2e-05
43,0000000000101011,6.304628923011561e-06,1e-05,1.6e-05
44,0000000000101100,1.559931675658063e-05,1.2e-05,4e-05
45,0000000000101101,6.339755756055648e-06,1.6e-05,3.4e-05
46,0000000000101110,7.266393276796509e-06,1.2e-05,2.4e-05
47,0000000000101111,2.5252414653864286e-05,1e-05,1.6e-05
