,bitstring,ideal_prob,noisy_prob
0,000000000000,6.4718427253e-05,0.000246
0,000000000001,0.001168263735962,0.00095
0,000000000010,9.1291430313e-05,0.000482
0,000000000011,0.000510722192739,0.000636
0,000000000100,8.242989544e-06,0.000248
0,000000000101,0.001672963243139,0.001058
0,000000000110,0.00118904590357,0.000838
0,000000000111,0.000170517506395,0.000286
0,000000001000,0.000537811777968,0.000532
0,000000001001,0.000696310791734,0.000828
0,000000001010,6.6495006907e-05,0.000252
0,000000001011,0.000368697988407,0.000406
0,000000001100,8.7587452682e-05,0.000232
0,000000001101,1.7246767238e-05,0.000506
0,000000001110,0.00142163917272,0.000852
0,000000001111,4.9229115648e-05,0.000254
0,000000010000,4.651883686e-06,0.00016
0,000000010001,0.000889503827778,0.0007
0,000000010010,0.001020994691048,0.000918
0,000000010011,0.000664506235208,0.000602
0,000000010100,0.00014352885306,0.000218
0,000000010101,0.000103365230255,0.000286
0,000000010110,0.000401500931616,0.000296
0,000000010111,9.8363728269e-05,0.00017
0,000000011000,0.000155005117295,0.000224
0,000000011001,0.000270972305666,0.000428
0,000000011010,0.000249196278153,0.000224
0,000000011011,0.000248849065377,0.000284
0,000000011100,0.000187668896934,0.00035
0,000000011101,0.002091293632351,0.001534
0,000000011110,7.3062573989e-05,0.000258
0,000000011111,0.001294811044292,0.000846
0,000000100000,7.3727175983e-05,0.000216
0,000000100001,0.000800158755689,0.000776
0,000000100010,0.000570694747434,0.000616
0,000000100011,0.000109840175039,0.00029
0,000000100100,0.001295082821929,0.000844
0,000000100101,0.002398808426105,0.001588
0,000000100110,0.000223585705742,0.000424
0,000000100111,9.2273349937e-05,0.000264
0,000000101000,0.000129829305185,0.000404
0,000000101001,0.003656916582142,0.002098
0,000000101010,0.000505629567596,0.000436
0,000000101011,0.000728997307863,0.00054
0,000000101100,7.0872185921e-05,0.000158
0,000000101101,0.000571480181642,0.000634
0,000000101110,8.9133016914e-05,0.000192
0,000000101111,4.5199294393e-05,0.000162
0,000000110000,0.000351846582788,0.000394
0,000000110001,8.9657204345e-05,0.000346
0,000000110010,0.002162336053823,0.001368
0,000000110011,0.001026072638774,0.000712
0,000000110100,0.00027020242594,0.000354
0,000000110101,0.001647270464979,0.001028
0,000000110110,0.001216387684808,0.000726
0,000000110111,0.001123529969885,0.000636
0,000000111000,0.001065021201845,0.000738
0,000000111001,0.0009960621398,0.001016
0,000000111010,0.000368057826439,0.00035
0,000000111011,0.000140236837618,0.000242
0,000000111100,0.000404369286952,0.00037
0,000000111101,0.002803831421579,0.001592
0,000000111110,2.4400949912e-05,0.000254
0,000000111111,0.000370196334495,0.000386
0,000001000000,2.6420264678e-05,0.000154
0,000001000001,0.000134490124491,0.000374
0,000001000010,0.000208533509538,0.000378
0,000001000011,0.000133533309977,0.000248
0,000001000100,0.000302094401643,0.000336
0,000001000101,0.000545510226652,0.000472
0,000001000110,0.000342522949253,0.000338
0,000001000111,0.000141618810883,0.000176
0,000001001000,0.000599224800686,0.000528
0,000001001001,0.002131433861751,0.001374
0,000001001010,4.1910032109e-05,0.000162
0,000001001011,0.000228297590376,0.000296
0,000001001100,0.000223395940601,0.000252
0,000001001101,3.1550308714e-05,0.000292
0,000001001110,0.000217496001907,0.000244
0,000001001111,9.7351533155e-05,0.000146
0,000001010000,3.0519363231e-05,0.00011
0,000001010001,7.6421899785e-05,0.00022
0,000001010010,0.000357867009624,0.000528
0,000001010011,0.000377176300257,0.000354
0,000001010100,2.3275284735e-05,0.000128
0,000001010101,0.000102101199566,0.000188
0,000001010110,1.240860725e-05,9e-05
0,000001010111,0.000130685043661,0.000138
0,000001011000,3.1701424343e-05,9.2e-05
0,000001011001,1.7342656682e-05,0.000254
0,000001011010,7.669747405e-06,9.6e-05
0,000001011011,9.99636543e-07,8.4e-05
0,000001011100,6.1803241238e-05,0.000168
0,000001011101,0.000729371733262,0.000792
0,000001011110,5.6785880094e-05,0.000186
0,000001011111,0.000190041128134,0.00031
0,000001100000,2.931250482e-05,0.000122
0,000001100001,0.000225230195315,0.00033
0,000001100010,3.0470595931e-05,0.000206
0,000001100011,0.000265153455057,0.000246
0,000001100100,0.000127372830425,0.000242
0,000001100101,0.000657408892268,0.00077
0,000001100110,0.000179823903745,0.000302
0,000001100111,0.000108702592848,0.000134
0,000001101000,3.2108339868e-05,0.000196
0,000001101001,0.00031599892478,0.00066
0,000001101010,2.3944213506e-05,0.000178
0,000001101011,0.000106888548165,0.000198
0,000001101100,3.5097279942e-05,0.000102
0,000001101101,0.000146257982341,0.00032
0,000001101110,0.000477239693174,0.000312
0,000001101111,6.995681392e-06,8.8e-05
0,000001110000,7.8542693436e-05,0.000158
0,000001110001,0.000146144928037,0.000294
0,000001110010,0.000298689701429,0.000366
0,000001110011,0.000328940921667,0.000386
0,000001110100,0.000695799576119,0.000448
0,000001110101,0.000217766880814,0.000444
0,000001110110,8.4323346656e-05,0.000264
0,000001110111,8.1615661017e-05,0.000216
0,000001111000,0.000248667706963,0.000344
0,000001111001,0.002608095109686,0.001512
0,000001111010,0.00036139193132,0.000338
0,000001111011,0.000349049703272,0.000258
0,000001111100,0.00021211884273,0.000254
0,000001111101,0.000536607019577,0.000606
0,000001111110,0.000338728834641,0.000234
0,000001111111,0.000119510721516,0.000186
0,000010000000,2.2381700992e-05,0.000152
0,000010000001,0.000249925464568,0.00042
0,000010000010,0.00015693633738,0.000416
0,000010000011,0.000128027504932,0.00039
0,000010000100,0.000308646851469,0.000284
0,000010000101,0.00030783020383,0.000336
0,000010000110,0.000257518879962,0.00035
0,000010000111,0.000252005651546,0.000246
0,000010001000,0.000104518505253,0.000264
0,000010001001,0.000138806082011,0.0004
0,000010001010,2.2250377052e-05,0.000152
0,000010001011,3.2493351566e-05,0.000134
0,000010001100,6.4922711425e-05,0.00017
0,000010001101,0.00043026697615,0.000468
0,000010001110,6.5936928225e-05,0.00022
0,000010001111,0.000139616656875,0.000136
0,000010010000,4.1363605321e-05,0.000104
0,000010010001,0.000137731788323,0.000262
0,000010010010,0.000282765996425,0.000448
0,000010010011,0.000227669193511,0.000292
0,000010010100,0.000126237889529,0.000126
0,000010010101,0.000304108781225,0.000248
0,000010010110,4.2903273074e-05,9.8e-05
0,000010010111,3.8865731789e-05,7.6e-05
0,000010011000,6.6976906535e-05,0.00011
0,000010011001,0.000239688448005,0.000246
0,000010011010,2.4981944614e-05,9.8e-05
0,000010011011,6.1828722695e-05,7e-05
0,000010011100,6.1570839414e-05,0.000156
0,000010011101,0.0002269043491,0.000554
0,000010011110,6.8177887173e-05,0.000166
0,000010011111,0.000190167734368,0.000232
0,000010100000,5.0010130031e-05,0.000104
0,000010100001,0.000112551814694,0.000326
0,000010100010,9.309076845e-05,0.000284
0,000010100011,0.000155555169727,0.00023
0,000010100100,1.3610577846e-05,0.000228
0,000010100101,0.000472496574937,0.000516
0,000010100110,0.000265785984676,0.000256
0,000010100111,5.9757795738e-05,0.000176
0,000010101000,8.5876456331e-05,0.000246
0,000010101001,0.000122601696585,0.000412
0,000010101010,4.9535734831e-05,0.000116
0,000010101011,2.8169860555e-05,0.000116
0,000010101100,2.821444878e-05,0.000104
0,000010101101,3.1380001135e-05,0.00029
0,000010101110,6.948566356e-06,0.000146
0,000010101111,6.4524188221e-05,7.8e-05
0,000010110000,4.5191777333e-05,0.000108
0,000010110001,0.000181683170265,0.000146
0,000010110010,0.000520993925613,0.000478
0,000010110011,5.4901830872e-05,0.00017
0,000010110100,1.3155700285e-05,0.000104
0,000010110101,0.000123866782756,0.000442
0,000010110110,6.6255695546e-05,0.00025
0,000010110111,7.564657607e-06,0.000162
0,000010111000,8.1871174904e-05,0.00021
0,000010111001,2.3650855124e-05,0.000332
0,000010111010,2.2093067156e-05,0.000134
0,000010111011,4.9697460031e-05,0.000114
0,000010111100,2.6711567448e-05,0.00012
0,000010111101,0.000524748551335,0.000524
0,000010111110,0.000102430754391,0.000158
0,000010111111,9.1842483974e-05,0.000146
0,000011000000,5.3135066322e-05,0.00019
0,000011000001,0.000534798819991,0.000478
0,000011000010,0.000445715438702,0.000564
0,000011000011,0.000659873308205,0.000536
0,000011000100,0.00019187257663,0.000262
0,000011000101,0.000270832252761,0.000334
0,000011000110,0.000355715615296,0.0003
0,000011000111,4.4767635774e-05,0.000162
0,000011001000,0.000325481928804,0.000334
0,000011001001,0.000694332262613,0.000624
0,000011001010,6.692848594e-06,0.000144
0,000011001011,0.000121169285326,0.000144
0,000011001100,0.00018061572144,0.000222
0,000011001101,0.000140389207305,0.000448
0,000011001110,0.000805712827607,0.000482
0,000011001111,1.6778876632e-05,0.000168
0,000011010000,7.8059056058e-05,0.000136
0,000011010001,0.000575540614147,0.00049
0,000011010010,0.001381000641016,0.000894
0,000011010011,0.000614903979425,0.000496
0,000011010100,0.000176511166477,0.000238
0,000011010101,8.1656658181e-05,0.00021
0,000011010110,0.0001550306559,0.00017
0,000011010111,0.000110826562531,0.00014
0,000011011000,0.000226056786926,0.000206
0,000011011001,0.000184757930921,0.000328
0,000011011010,0.000161519599477,0.000166
0,000011011011,0.000129774950758,0.000148
0,000011011100,0.000227967436441,0.000312
0,000011011101,0.003012522716157,0.001558
0,000011011110,0.00031511860516,0.000324
0,000011011111,0.00103621019678,0.000606
0,000011100000,0.00019361855874,0.000216
0,000011100001,1.5990495e-06,0.000344
0,000011100010,0.000750043393344,0.000538
0,000011100011,0.000423091318886,0.000358
0,000011100100,0.000685250469057,0.00052
0,000011100101,0.001725892430438,0.001098
0,000011100110,0.000638254419904,0.000534
0,000011100111,0.000537050433419,0.000354
0,000011101000,0.000143903444027,0.000254
0,000011101001,0.000640675199785,0.000714
0,000011101010,6.0625986931e-05,0.00019
0,000011101011,0.000138648779046,0.000214
0,000011101100,7.715242171e-05,0.000152
0,000011101101,0.001212097059182,0.000702
0,000011101110,0.000311357915352,0.000308
0,000011101111,0.000282891583497,0.000178
0,000011110000,0.000121803369082,0.000152
0,000011110001,2.8753467119e-05,0.00018
0,000011110010,0.000278951026859,0.000388
0,000011110011,9.5494911305e-05,0.000238
0,000011110100,0.000148246475741,0.000206
0,000011110101,0.001256329405171,0.000744
0,000011110110,0.000447268333358,0.000368
0,000011110111,0.000384529843093,0.000262
