circuit_id,num_qubits,depth,nonzero_rate_ideal,nonzero_rate_basic_depolarization_model,nonzero_rate_fake_kolkata_model
0,12,10,0.12,0.56,0.64
1,12,12,0.03,0.49,0.42
2,12,14,0.25,0.84,0.93
3,14,10,0.03,0.33,0.25
4,14,12,0.06,0.4,0.34
5,14,14,0.5,0.63,0.68
6,16,10,0.01,0.1,0.08
7,16,12,0.12,0.2,0.2
8,16,14,0.39,0.42,0.42
